classname,method,docstring,annotations,method_definition
org.joda.time.TestMutableDateTime_Basics,void main(String[] args),,,"public static void main(String[] args) {
        junit.textui.TestRunner.run(suite());
    }"
org.joda.time.TestMutableDateTime_Basics,suite(),,,"public static TestSuite suite() {
        return new TestSuite(TestMutableDateTime_Basics.class);
    }"
org.joda.time.TestMutableDateTime_Basics,void setUp(),,,"@Override
    protected void setUp() throws Exception {
        DateTimeUtils.setCurrentMillisFixed(TEST_TIME_NOW);
        originalDateTimeZone = DateTimeZone.getDefault();
        originalTimeZone = TimeZone.getDefault();
        originalLocale = Locale.getDefault();
        DateTimeZone.setDefault(LONDON);
        TimeZone.setDefault(TimeZone.getTimeZone(""Europe/London""));
        Locale.setDefault(Locale.UK);
    }"
org.joda.time.TestMutableDateTime_Basics,void tearDown(),,,"@Override
    protected void tearDown() throws Exception {
        DateTimeUtils.setCurrentMillisSystem();
        DateTimeZone.setDefault(originalDateTimeZone);
        TimeZone.setDefault(originalTimeZone);
        Locale.setDefault(originalLocale);
        originalDateTimeZone = null;
        originalTimeZone = null;
        originalLocale = null;
    }"
org.joda.time.TestMutableDateTime_Basics,void testTest(),,,"public void testTest() {
        assertEquals(""2002-06-09T00:00:00.000Z"",new Instant(TEST_TIME_NOW).toString());
        assertEquals(""2002-04-05T12:24:00.000Z"",new Instant(TEST_TIME1).toString());
        assertEquals(""2003-05-06T14:28:00.000Z"",new Instant(TEST_TIME2).toString());
    }"
org.joda.time.TestMutableDateTime_Basics,void testGet_DateTimeField(),,,"public void testGet_DateTimeField() {
        MutableDateTime test = new MutableDateTime();
        assertEquals(1,test.get(ISOChronology.getInstance().era()));
        assertEquals(20,test.get(ISOChronology.getInstance().centuryOfEra()));
        assertEquals(2,test.get(ISOChronology.getInstance().yearOfCentury()));
        assertEquals(2002,test.get(ISOChronology.getInstance().yearOfEra()));
        assertEquals(2002,test.get(ISOChronology.getInstance().year()));
        assertEquals(6,test.get(ISOChronology.getInstance().monthOfYear()));
        assertEquals(9,test.get(ISOChronology.getInstance().dayOfMonth()));
        assertEquals(2002,test.get(ISOChronology.getInstance().weekyear()));
        assertEquals(23,test.get(ISOChronology.getInstance().weekOfWeekyear()));
        assertEquals(7,test.get(ISOChronology.getInstance().dayOfWeek()));
        assertEquals(160,test.get(ISOChronology.getInstance().dayOfYear()));
        assertEquals(0,test.get(ISOChronology.getInstance().halfdayOfDay()));
        assertEquals(1,test.get(ISOChronology.getInstance().hourOfHalfday()));
        assertEquals(1,test.get(ISOChronology.getInstance().clockhourOfDay()));
        assertEquals(1,test.get(ISOChronology.getInstance().clockhourOfHalfday()));
        assertEquals(1,test.get(ISOChronology.getInstance().hourOfDay()));
        assertEquals(0,test.get(ISOChronology.getInstance().minuteOfHour()));
        assertEquals(60,test.get(ISOChronology.getInstance().minuteOfDay()));
        assertEquals(0,test.get(ISOChronology.getInstance().secondOfMinute()));
        assertEquals(60 * 60,test.get(ISOChronology.getInstance().secondOfDay()));
        assertEquals(0,test.get(ISOChronology.getInstance().millisOfSecond()));
        assertEquals(60 * 60 * 1000,test.get(ISOChronology.getInstance().millisOfDay()));
        try {
            test.get((DateTimeField) null);
            fail();
        } catch (IllegalArgumentException ex) {}
    }"
org.joda.time.TestMutableDateTime_Basics,void testGet_DateTimeFieldType(),,,"public void testGet_DateTimeFieldType() {
        MutableDateTime test = new MutableDateTime();
        assertEquals(1,test.get(DateTimeFieldType.era()));
        assertEquals(20,test.get(DateTimeFieldType.centuryOfEra()));
        assertEquals(2,test.get(DateTimeFieldType.yearOfCentury()));
        assertEquals(2002,test.get(DateTimeFieldType.yearOfEra()));
        assertEquals(2002,test.get(DateTimeFieldType.year()));
        assertEquals(6,test.get(DateTimeFieldType.monthOfYear()));
        assertEquals(9,test.get(DateTimeFieldType.dayOfMonth()));
        assertEquals(2002,test.get(DateTimeFieldType.weekyear()));
        assertEquals(23,test.get(DateTimeFieldType.weekOfWeekyear()));
        assertEquals(7,test.get(DateTimeFieldType.dayOfWeek()));
        assertEquals(160,test.get(DateTimeFieldType.dayOfYear()));
        assertEquals(0,test.get(DateTimeFieldType.halfdayOfDay()));
        assertEquals(1,test.get(DateTimeFieldType.hourOfHalfday()));
        assertEquals(1,test.get(DateTimeFieldType.clockhourOfDay()));
        assertEquals(1,test.get(DateTimeFieldType.clockhourOfHalfday()));
        assertEquals(1,test.get(DateTimeFieldType.hourOfDay()));
        assertEquals(0,test.get(DateTimeFieldType.minuteOfHour()));
        assertEquals(60,test.get(DateTimeFieldType.minuteOfDay()));
        assertEquals(0,test.get(DateTimeFieldType.secondOfMinute()));
        assertEquals(60 * 60,test.get(DateTimeFieldType.secondOfDay()));
        assertEquals(0,test.get(DateTimeFieldType.millisOfSecond()));
        assertEquals(60 * 60 * 1000,test.get(DateTimeFieldType.millisOfDay()));
        try {
            test.get((DateTimeFieldType) null);
            fail();
        } catch (IllegalArgumentException ex) {}
    }"
org.joda.time.TestMutableDateTime_Basics,void testGetMethods(),,,"public void testGetMethods() {
        MutableDateTime test = new MutableDateTime();
        
        assertEquals(ISOChronology.getInstance(),test.getChronology());
        assertEquals(LONDON,test.getZone());
        assertEquals(TEST_TIME_NOW,test.getMillis());
        
        assertEquals(1,test.getEra());
        assertEquals(20,test.getCenturyOfEra());
        assertEquals(2,test.getYearOfCentury());
        assertEquals(2002,test.getYearOfEra());
        assertEquals(2002,test.getYear());
        assertEquals(6,test.getMonthOfYear());
        assertEquals(9,test.getDayOfMonth());
        assertEquals(2002,test.getWeekyear());
        assertEquals(23,test.getWeekOfWeekyear());
        assertEquals(7,test.getDayOfWeek());
        assertEquals(160,test.getDayOfYear());
        assertEquals(1,test.getHourOfDay());
        assertEquals(0,test.getMinuteOfHour());
        assertEquals(60,test.getMinuteOfDay());
        assertEquals(0,test.getSecondOfMinute());
        assertEquals(60 * 60,test.getSecondOfDay());
        assertEquals(0,test.getMillisOfSecond());
        assertEquals(60 * 60 * 1000,test.getMillisOfDay());
    }"
org.joda.time.TestMutableDateTime_Basics,void testEqualsHashCode(),,,"public void testEqualsHashCode() {
        MutableDateTime test1 = new MutableDateTime(TEST_TIME1);
        MutableDateTime test2 = new MutableDateTime(TEST_TIME1);
        assertEquals(true,test1.equals(test2));
        assertEquals(true,test2.equals(test1));
        assertEquals(true,test1.equals(test1));
        assertEquals(true,test2.equals(test2));
        assertEquals(true,test1.hashCode()== test2.hashCode());
        assertEquals(true,test1.hashCode()== test1.hashCode());
        assertEquals(true,test2.hashCode()== test2.hashCode());
        
        MutableDateTime test3 = new MutableDateTime(TEST_TIME2);
        assertEquals(false,test1.equals(test3));
        assertEquals(false,test2.equals(test3));
        assertEquals(false,test3.equals(test1));
        assertEquals(false,test3.equals(test2));
        assertEquals(false,test1.hashCode()== test3.hashCode());
        assertEquals(false,test2.hashCode()== test3.hashCode());
        
        DateTime test4 = new DateTime(TEST_TIME2);
        assertEquals(true,test4.equals(test3));
        assertEquals(true,test3.equals(test4));
        assertEquals(false,test4.equals(test1));
        assertEquals(false,test1.equals(test4));
        assertEquals(true,test3.hashCode()== test4.hashCode());
        assertEquals(false,test1.hashCode()== test4.hashCode());
        
        MutableDateTime test5 = new MutableDateTime(TEST_TIME2);
        test5.setRounding(ISOChronology.getInstance().millisOfSecond());
        assertEquals(true,test5.equals(test3));
        assertEquals(true,test5.equals(test4));
        assertEquals(true,test3.equals(test5));
        assertEquals(true,test4.equals(test5));
        assertEquals(true,test3.hashCode()== test5.hashCode());
        assertEquals(true,test4.hashCode()== test5.hashCode());
        
        assertEquals(false,test1.equals(""Hello""));
        assertEquals(true,test1.equals(new MockInstant()));
        assertEquals(false,test1.equals(new MutableDateTime(TEST_TIME1,GregorianChronology.getInstance())));
        assertEquals(true,new MutableDateTime(TEST_TIME1,new MockEqualsChronology()).equals(new MutableDateTime(TEST_TIME1,new MockEqualsChronology())));
        assertEquals(false,new MutableDateTime(TEST_TIME1,new MockEqualsChronology()).equals(new MutableDateTime(TEST_TIME1,ISOChronology.getInstance())));
    }"
org.joda.time.TestMutableDateTime_Basics.MockInstant,toString(),,,"@Override
        public String toString() {
            return null;
        }"
org.joda.time.TestMutableDateTime_Basics.MockInstant,getMillis(),,,"public long getMillis() {
            return TEST_TIME1;
        }"
org.joda.time.TestMutableDateTime_Basics.MockInstant,getChronology(),,,"public Chronology getChronology() {
            return ISOChronology.getInstance();
        }"
org.joda.time.TestMutableDateTime_Basics.MockEqualsChronology,equals(Object obj),,,"@Override
        public boolean equals(Object obj) {
            return obj instanceof MockEqualsChronology;
        }"
