classname,method,docstring,method_definition
org.apache.commons.configuration2.ConfigurationXMLReader,void parse(final String systemId),"/**
     * Parses the current configuration object. The passed system ID will be ignored.
     *
     * @param systemId the system ID (ignored)
     * @throws IOException if no configuration was specified
     * @throws SAXException if an error occurs during parsing
     */","@Override
    public void parse(final String systemId) throws IOException, SAXException {
        parseConfiguration();
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,void parse(final InputSource input),"/**
     * Parses the actual configuration object. The passed input source will be ignored.
     *
     * @param input the input source (ignored)
     * @throws IOException if no configuration was specified
     * @throws SAXException if an error occurs during parsing
     */","@Override
    public void parse(final InputSource input) throws IOException, SAXException {
        parseConfiguration();
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,getFeature(final String name),"/**
     * Dummy implementation of the interface method.
     *
     * @param name the name of the feature
     * @return always <b>false</b> (no features are supported)
     */","@Override
    public boolean getFeature(final String name) {
        return false;
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,"void setFeature(final String name, final boolean value)","/**
     * Dummy implementation of the interface method.
     *
     * @param name the name of the feature to be set
     * @param value the value of the feature
     */","@Override
    public void setFeature(final String name, final boolean value) {
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,getContentHandler(),"/**
     * Returns the actually set content handler.
     *
     * @return the content handler
     */","@Override
    public ContentHandler getContentHandler() {
        return contentHandler;
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,void setContentHandler(final ContentHandler handler),"/**
     * Sets the content handler. The object specified here will receive SAX events during parsing.
     *
     * @param handler the content handler
     */","@Override
    public void setContentHandler(final ContentHandler handler) {
        contentHandler = handler;
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,getDTDHandler(),"/**
     * Returns the DTD handler. This class does not support DTD handlers, so this method always returns <b>null</b>.
     *
     * @return the DTD handler
     */","@Override
    public DTDHandler getDTDHandler() {
        return null;
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,void setDTDHandler(final DTDHandler handler),"/**
     * Sets the DTD handler. The passed value is ignored.
     *
     * @param handler the handler to be set
     */","@Override
    public void setDTDHandler(final DTDHandler handler) {
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,getEntityResolver(),"/**
     * Returns the entity resolver. This class does not support an entity resolver, so this method always returns
     * <b>null</b>.
     *
     * @return the entity resolver
     */","@Override
    public EntityResolver getEntityResolver() {
        return null;
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,void setEntityResolver(final EntityResolver resolver),"/**
     * Sets the entity resolver. The passed value is ignored.
     *
     * @param resolver the entity resolver
     */","@Override
    public void setEntityResolver(final EntityResolver resolver) {
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,getErrorHandler(),"/**
     * Returns the error handler. This class does not support an error handler, so this method always returns <b>null</b>.
     *
     * @return the error handler
     */","@Override
    public ErrorHandler getErrorHandler() {
        return null;
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,void setErrorHandler(final ErrorHandler handler),"/**
     * Sets the error handler. The passed value is ignored.
     *
     * @param handler the error handler
     */","@Override
    public void setErrorHandler(final ErrorHandler handler) {
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,getProperty(final String name),"/**
     * Dummy implementation of the interface method. No properties are supported, so this method always returns <b>null</b>.
     *
     * @param name the name of the requested property
     * @return the property value
     */","@Override
    public Object getProperty(final String name) {
        return null;
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,"void setProperty(final String name, final Object value)","/**
     * Dummy implementation of the interface method. No properties are supported, so a call of this method just has no
     * effect.
     *
     * @param name the property name
     * @param value the property value
     */","@Override
    public void setProperty(final String name, final Object value) {
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,getRootName(),"/**
     * Returns the name to be used for the root element.
     *
     * @return the name for the root element
     */","public String getRootName() {
        return rootName;
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,void setRootName(final String string),"/**
     * Sets the name for the root element.
     *
     * @param string the name for the root element.
     */","public void setRootName(final String string) {
        rootName = string;
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,"void fireElementStart(final String name, final Attributes attribs)","/**
     * Fires a SAX element start event.
     *
     * @param name the name of the actual element
     * @param attribs the attributes of this element (can be <b>null</b>)
     */","protected void fireElementStart(final String name, final Attributes attribs) {
        if (getException() == null) {
            try {
                final Attributes at = attribs == null ? EMPTY_ATTRS : attribs;
                getContentHandler().startElement(NS_URI, name, name, at);
            } catch (final SAXException ex) {
                exception = ex;
            }
        }
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,void fireElementEnd(final String name),"/**
     * Fires a SAX element end event.
     *
     * @param name the name of the affected element
     */","protected void fireElementEnd(final String name) {
        if (getException() == null) {
            try {
                getContentHandler().endElement(NS_URI, name, name);
            } catch (final SAXException ex) {
                exception = ex;
            }
        }
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,void fireCharacters(final String text),"/**
     * Fires a SAX characters event.
     *
     * @param text the text
     */","protected void fireCharacters(final String text) {
        if (getException() == null) {
            try {
                final char[] ch = text.toCharArray();
                getContentHandler().characters(ch, 0, ch.length);
            } catch (final SAXException ex) {
                exception = ex;
            }
        }
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,getException(),"/**
     * Returns a reference to an exception that occurred during parsing.
     *
     * @return a SAXExcpetion or <b>null</b> if none occurred
     */","public SAXException getException() {
        return exception;
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,void parseConfiguration(),"/**
     * Parses the configuration object and generates SAX events. This is the main processing method.
     *
     * @throws IOException if no configuration has been specified
     * @throws SAXException if an error occurs during parsing
     */","protected void parseConfiguration() throws IOException, SAXException {
        if (getParsedConfiguration() == null) {
            throw new IOException(""No configuration specified!"");
        }

        if (getContentHandler() != null) {
            exception = null;
            getContentHandler().startDocument();
            processKeys();
            if (getException() != null) {
                throw getException();
            }
            getContentHandler().endDocument();
        }
    }"
org.apache.commons.configuration2.ConfigurationXMLReader,getParsedConfiguration(),"/**
     * Returns a reference to the configuration that is parsed by this object.
     *
     * @return the parsed configuration
     */",public abstract Configuration getParsedConfiguration();
org.apache.commons.configuration2.ConfigurationXMLReader,void processKeys(),"/**
     * Processes all keys stored in the actual configuration. This method is called by {@code parseConfiguration()} to start
     * the main parsing process. {@code parseConfiguration()} calls the content handler's {@code startDocument()} and
     * {@code endElement()} methods and cares for exception handling. The remaining actions are left to this method that
     * must be implemented in a concrete sub class.
     *
     * @throws IOException if an IO error occurs
     * @throws SAXException if a SAX error occurs
     */","protected abstract void processKeys() throws IOException, SAXException;"
org.apache.commons.configuration2.AbstractHierarchicalConfiguration,getRootElementName(),"/**
     * {@inheritDoc} This implementation handles synchronization and delegates to {@code getRootElementNameInternal()}.
     */","@Override
    public final String getRootElementName() {
        beginRead(false);
        try {
            return getRootElementNameInternal();
        } finally {
            endRead();
        }
    }"
org.apache.commons.configuration2.AbstractHierarchicalConfiguration,getRootElementNameInternal(),"/**
     * Actually obtains the name of the root element. This method is called by {@code getRootElementName()}. It just returns
     * the name of the root node. Subclasses that treat the root element name differently can override this method.
     *
     * @return the name of this configuration's root element
     */","protected String getRootElementNameInternal() {
        final NodeHandler<T> nodeHandler = getModel().getNodeHandler();
        return nodeHandler.nodeName(nodeHandler.getRootNode());
    }"
org.apache.commons.configuration2.AbstractHierarchicalConfiguration,getNodeModel(),"/**
     * {@inheritDoc} This implementation returns the configuration's {@code NodeModel}. It is guarded by the current
     * {@code Synchronizer}.
     */","@Override
    public NodeModel<T> getNodeModel() {
        beginRead(false);
        try {
            return getModel();
        } finally {
            endRead();
        }
    }"
org.apache.commons.configuration2.AbstractHierarchicalConfiguration,getExpressionEngine(),"/**
     * Returns the expression engine used by this configuration. This method will never return <b>null</b>; if no specific
     * expression engine was set, the default expression engine will be returned.
     *
     * @return the current expression engine
     * @since 1.3
     */","@Override
    public ExpressionEngine getExpressionEngine() {
        return expressionEngine != null ? expressionEngine : DefaultExpressionEngine.INSTANCE;
    }"
org.apache.commons.configuration2.AbstractHierarchicalConfiguration,void setExpressionEngine(final ExpressionEngine expressionEngine),"/**
     * Sets the expression engine to be used by this configuration. All property keys this configuration has to deal with
     * will be interpreted by this engine.
     *
     * @param expressionEngine the new expression engine; can be <b>null</b>, then the default expression engine will be
     *        used
     * @since 1.3
     */","@Override
    public void setExpressionEngine(final ExpressionEngine expressionEngine) {
        this.expressionEngine = expressionEngine;
    }"
