focal_method,test_prefix,docstring
,"  public void test0()  throws Throwable  {
      GenericObjectPoolConfig<String> genericObjectPoolConfig0 = new GenericObjectPoolConfig<String>();
      StringBuilder stringBuilder0 = new StringBuilder();
      ((BaseObject)genericObjectPoolConfig0).toStringAppendFields(stringBuilder0);
      assertEquals(10000L, BaseObjectPoolConfig.DEFAULT_EVICTOR_SHUTDOWN_TIMEOUT_MILLIS);
}",
,"  public void test1()  throws Throwable  {
      PooledObjectFactory<Object> pooledObjectFactory0 = (PooledObjectFactory<Object>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      GenericObjectPool<Object> genericObjectPool0 = new GenericObjectPool<Object>(pooledObjectFactory0);
      PooledObjectFactory<Object> pooledObjectFactory1 = genericObjectPool0.getFactory();
      SoftReferenceObjectPool<Object> softReferenceObjectPool0 = new SoftReferenceObjectPool<Object>(pooledObjectFactory1);
      // Undeclared exception!
      try { 
        ((BaseObject)softReferenceObjectPool0).toStringAppendFields((StringBuilder) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.pool2.BaseObjectPool"", e);
      }
  }",
"    public String toString() {
        final StringBuilder builder = new StringBuilder();
        builder.append(getClass().getSimpleName());
        builder.append("" ["");
        toStringAppendFields(builder);
        builder.append(""]"");
        return builder.toString();
    }","  public void test2()  throws Throwable  {
      GenericObjectPoolConfig<Object> genericObjectPoolConfig0 = new GenericObjectPoolConfig<Object>();
      String string0 = genericObjectPoolConfig0.toString();
      assertEquals(""GenericObjectPoolConfig [lifo=true, fairness=false, maxWaitDuration=PT-0.001S, minEvictableIdleTime=PT30M, softMinEvictableIdleTime=PT-0.001S, numTestsPerEvictionRun=3, evictionPolicyClassName=org.apache.commons.pool2.impl.DefaultEvictionPolicy, testOnCreate=false, testOnBorrow=false, testOnReturn=false, testWhileIdle=false, timeBetweenEvictionRuns=PT-0.001S, blockWhenExhausted=true, jmxEnabled=true, jmxNamePrefix=pool, jmxNameBase=null, maxTotal=8, maxIdle=8, minIdle=0]"", string0);
}",
"    public final boolean isClosed() {
        return closed;
    }","  public void test0()  throws Throwable  {
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(""SYM<C*>"").when(pooledObjectFactory0).toString();
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      StringBuilder stringBuilder0 = new StringBuilder();
      ((BaseObjectPool)softReferenceObjectPool0).toStringAppendFields(stringBuilder0);
      assertFalse(softReferenceObjectPool0.isClosed());
}","/**
     * Has this pool instance been closed.
     *
     * @return {@code true} when this pool has been closed.
     */"
"    public int getNumActive() {
        return -1;
    }","  public void test1()  throws Throwable  {
      PooledObject<String> pooledObject0 = (PooledObject<String>) mock(PooledObject.class, new ViolatedAssumptionAnswer());
      doReturn(""SYM<C*>"").when(pooledObject0).getObject();
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(pooledObject0).when(pooledObjectFactory0).makeObject();
      doReturn(true, false).when(pooledObjectFactory0).validateObject(nullable(org.apache.commons.pool2.PooledObject.class));
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      softReferenceObjectPool0.borrowObject();
      softReferenceObjectPool0.returnObject(""SYM<C*>"");
      assertEquals(0, softReferenceObjectPool0.getNumActive());
}","/**
     * Not supported in this base implementation.
     *
     * @return a negative value.
     */"
"    public int getNumActive() {
        return -1;
    }","  public void test2()  throws Throwable  {
      PooledObject<String> pooledObject0 = (PooledObject<String>) mock(PooledObject.class, new ViolatedAssumptionAnswer());
      doReturn(""q"").when(pooledObject0).getObject();
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(pooledObject0).when(pooledObjectFactory0).makeObject();
      doReturn(true).when(pooledObjectFactory0).validateObject(nullable(org.apache.commons.pool2.PooledObject.class));
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      softReferenceObjectPool0.borrowObject();
      softReferenceObjectPool0.invalidateObject(""q"");
      assertEquals(0, softReferenceObjectPool0.getNumActive());
}","/**
     * Not supported in this base implementation.
     *
     * @return a negative value.
     */"
,"  public void test3()  throws Throwable  {
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      ((BaseObjectPool)softReferenceObjectPool0).assertOpen();
}",
"    public final boolean isClosed() {
        return closed;
    }","  public void test4()  throws Throwable  {
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      assertFalse(softReferenceObjectPool0.isClosed());
}","/**
     * Has this pool instance been closed.
     *
     * @return {@code true} when this pool has been closed.
     */"
"    public int getNumActive() {
        return -1;
    }","  public void test5()  throws Throwable  {
      PooledObject<String> pooledObject0 = (PooledObject<String>) mock(PooledObject.class, new ViolatedAssumptionAnswer());
      doReturn((Object) null).when(pooledObject0).getObject();
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      doReturn(pooledObject0).when(pooledObjectFactory0).makeObject();
      doReturn(false).when(pooledObjectFactory0).validateObject(nullable(org.apache.commons.pool2.PooledObject.class));
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      softReferenceObjectPool0.addObject();
      assertEquals(0, softReferenceObjectPool0.getNumActive());
}","/**
     * Not supported in this base implementation.
     *
     * @return a negative value.
     */"
"    public final boolean isClosed() {
        return closed;
    }","  public void test6()  throws Throwable  {
      PooledObjectFactory<String> pooledObjectFactory0 = (PooledObjectFactory<String>) mock(PooledObjectFactory.class, new ViolatedAssumptionAnswer());
      SoftReferenceObjectPool<String> softReferenceObjectPool0 = new SoftReferenceObjectPool<String>(pooledObjectFactory0);
      softReferenceObjectPool0.clear();
      assertFalse(softReferenceObjectPool0.isClosed());
}","/**
     * Has this pool instance been closed.
     *
     * @return {@code true} when this pool has been closed.
     */"
