id,reason,code_col
pool_17_2,ok_parsed_at_least_one,test_prefix
pool_17_3,ok_parsed_at_least_one,test_prefix
pool_19_1,ok_parsed_at_least_one,test_prefix
pool_20_2,ok_parsed_at_least_one,test_prefix
pool_28_2,ok_parsed_at_least_one,test_prefix
pool_29_1,ok_parsed_at_least_one,test_prefix
pool_49_3,ok_parsed_at_least_one,test_prefix
pool_49_4,ok_parsed_at_least_one,test_prefix
pool_147_7,ok_parsed_at_least_one,test_prefix
pool_151_1,ok_parsed_at_least_one,test_prefix
pool_264_1,ok_parsed_at_least_one,test_prefix
pool_279_1,ok_parsed_at_least_one,test_prefix
