id,target,output,match_tc_mut_doc
conf_591_1,"assertEquals(""Checking interpolated variable"", dbProp, superProp.getString(""db""));","assertEquals(""${applicationRoot}/db/hypersonic"", config.getString());",0
conf_891_1,"assertNull(""Wrong file for null URL"", a);",assertNull(a);,0
conf_1883_1,"assertNull(""Got a value"", a);",assertNull(a);,0
conf_627_1,"assertNotSame(""No clone was created"", params, clone);","assertNotSame(params, cloneIfPossible());",0
conf_407_1,"assertTrue(""Throw Exception Property is not set!"", a);","assertEquals(true, a);",0
conf_669_2,"assertTrue(""Property cleared in other config"", config2.containsKey(""key1""));","assertEquals(false, config2.containsKey());",0
conf_838_3,"assertEquals(""tab2"", config.getString(""tables.table(1).name""));","assertEquals(""resources"", config.getString());",0
conf_1792_1,"assertEquals(""Matched new value"", newValue, ((Double) bean.get(""doubleProperty"")).doubleValue(), 0.005);","assertEquals(1.0, doubleProperty, 0.01D);",0
conf_808_7,assertTrue(prop instanceof Collection);,assertNull(prop);,0
conf_289_1,"assertSame(""Interpolator not set"", interpolator, config.getInterpolator());","assertEquals(""weka.gui.beans.ConfigurationInterpolator[,0,0,0x0,invalid,layout=java.awt.BorderLayout,alignmentX=0.0,alignmentY=0.0,border=,flags=9,maximumSize=,minimumSize=,preferredSize=]"", interpolator.toString());",0
conf_1567_5,"assertEquals(""Wrong index"", 0, it.getIndex());","assertEquals(-1, key.getIndex());",0
conf_638_1,"assertEquals(""Wrong value 1"", 1, hc.getInt(""test(0)""));","assertEquals(0, config.getInt());",0
conf_136_7,"assertEquals(expected, conf.getURIArray(""uri.list.interpolated""));",assertNotNull(valueArray0);,0
conf_1249_2,"assertNull(""Got a parent"", spec.getParentInterpolator());","assertEquals(""weka.gui.beans.ConfigurationInterpolator[,0,0,0x0,invalid,layout=java.awt.BorderLayout,alignmentX=0.0,alignmentY=0.0,border=,flags=9,maximumSize=,minimumSize=,preferredSize=]"", configInterpolator0.toString());",0
conf_759_2,"assertNull(subset.getString(""foo""));","assertEquals(""prefix"", subset.getString());",0
conf_1178_4,"assertTrue(""Listener 1 not found"", listeners.contains(l1));","assertEquals(true, l1.contains(l2));",0
conf_120_3,"assertEquals(expected, conf.getFloatList(""float.list2""));",assertNotNull(floatList0);,0
conf_1527_1,"assertTrue(""Got still attributes"", node.getAttributes().isEmpty());","public Map<String,?> attributes(){ {
            return attributes(true);
    }assertEquals(true, model.getAttributes());",0
conf_1072_1,"assertEquals(""Wrong escaped string"", STR_VALUE, handler.escape(testStr, trans));","assertEquals(""Some other string"", testStr);",0
conf_1200_2,"assertEquals(""Wrong exception flag"", Boolean.TRUE, params.getParameters().get(""throwExceptionOnMissing""));","assertEquals(true, params.getThrowExceptionOnMissing());",0
conf_748_3,"assertEquals(""parent key for \""key\"""", ""prefixkey"", subset.getParentKey(""key""));","assertEquals(""prefix"", subset.getParentKey());",0
conf_left_1717_2,"assertInstanceOf(""Returned incorrect type"", Long.class, value);",assertNull(value);,0
conf_395_1,"assertEquals(""Number of configurations"", 4, config.getNumberOfConfigurations());","assertEquals(1, configListNumberOfConfigurations());",0
conf_1614_1,"assertEquals(""Wrong selector 1"", new NodeSelector(nodeKey1), sel);","assertEquals(false, it.hasNext());",0
