id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name,custom_assert_name
jexl_1_1,commons-jexl3,PropertyAccessTest,testPropertyProperty_1_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression,assertExpression
jexl_1_2,commons-jexl3,PropertyAccessTest,testPropertyProperty_2_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression,assertExpression
jexl_1_3,commons-jexl3,PropertyAccessTest,testPropertyProperty_3_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression,assertExpression
jexl_1_4,commons-jexl3,PropertyAccessTest,testPropertyProperty_4_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression,assertExpression
jexl_1_5,commons-jexl3,PropertyAccessTest,testPropertyProperty_5_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression,assertExpression
jexl_1_6,commons-jexl3,PropertyAccessTest,testPropertyProperty_6_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression,assertExpression
jexl_1_7,commons-jexl3,PropertyAccessTest,testPropertyProperty_7_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression,assertExpression
jexl_1_8,commons-jexl3,PropertyAccessTest,testPropertyProperty_8_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression,assertExpression
jexl_1_9,commons-jexl3,PropertyAccessTest,testPropertyProperty_9_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression,assertExpression
jexl_1_10,commons-jexl3,PropertyAccessTest,testPropertyProperty_10_oe,src/test/java/org/apache/commons/jexl3/PropertyAccessTest.java,,,,assert,unknown,custom,assertExpression,assertExpression
