id,test_prefix,test_name,custom_assert_name,custom_assert_method,custom_assert_file
bcel_73_8,"    public void testTransformClassToClassGen_ArrayAndAnnotationTypes_8_oe()
            throws ClassNotFoundException
    {
        final JavaClass jc = getTestClass(PACKAGE_BASE_NAME+"".data.AnnotatedWithCombinedAnnotation"");
        final ClassGen cgen = new ClassGen(jc);
        // Check annotations are correctly preserved
        final AnnotationEntryGen[] annotations = cgen.getAnnotationEntries();
        // removed other assertion
        final AnnotationEntryGen a = annotations[0];
        // removed other assertion
        final ElementValuePairGen nvp = a.getValues().get(0);
        final ElementValueGen value = nvp.getValue();
        // removed other assertion
        final ArrayElementValueGen arrayValue = (ArrayElementValueGen) value;
        // removed other assertion
        final ElementValueGen innerValue = arrayValue.getElementValues().get(0);
        // removed other assertion
        final AnnotationElementValueGen innerAnnotationValue = (AnnotationElementValueGen) innerValue;
        // removed other assertion

        // check the three methods
        final Method[] methods = cgen.getMethods();
        // removed other assertion
        for (final Method method : methods)
        {
            final String methodName= method.getName();
            if(methodName.equals(""<init>""))
            {
                assertMethodAnnotations(method, 0, 1);
    }
    }
    }
",GeneratingAnnotatedClassesTestCase::testTransformClassToClassGen_ArrayAndAnnotationTypes_8_oe,assertMethodAnnotations,"    private void assertMethodAnnotations(final Method method, final int expectedNumberAnnotations, final int nExpectedArrayValues)
    {
        final String methodName= method.getName();
        final AnnotationEntry[] annos= method.getAnnotationEntries();
        assertEquals(""For ""+methodName, expectedNumberAnnotations, annos.length);
        if(expectedNumberAnnotations!=0)
        {
            assertArrayElementValue(nExpectedArrayValues, annos[0]);
        }
    }
",src/test/java/org/apache/bcel/generic/GeneratingAnnotatedClassesTestCase.java
bcel_73_9,"    public void testTransformClassToClassGen_ArrayAndAnnotationTypes_9_oe()
            throws ClassNotFoundException
    {
        final JavaClass jc = getTestClass(PACKAGE_BASE_NAME+"".data.AnnotatedWithCombinedAnnotation"");
        final ClassGen cgen = new ClassGen(jc);
        // Check annotations are correctly preserved
        final AnnotationEntryGen[] annotations = cgen.getAnnotationEntries();
        // removed other assertion
        final AnnotationEntryGen a = annotations[0];
        // removed other assertion
        final ElementValuePairGen nvp = a.getValues().get(0);
        final ElementValueGen value = nvp.getValue();
        // removed other assertion
        final ArrayElementValueGen arrayValue = (ArrayElementValueGen) value;
        // removed other assertion
        final ElementValueGen innerValue = arrayValue.getElementValues().get(0);
        // removed other assertion
        final AnnotationElementValueGen innerAnnotationValue = (AnnotationElementValueGen) innerValue;
        // removed other assertion

        // check the three methods
        final Method[] methods = cgen.getMethods();
        // removed other assertion
        for (final Method method : methods)
        {
            final String methodName= method.getName();
            if(methodName.equals(""<init>""))
            {
                // removed other assertion
                assertParameterAnnotations(method, 0, 1);
    }
    }
    }
",GeneratingAnnotatedClassesTestCase::testTransformClassToClassGen_ArrayAndAnnotationTypes_9_oe,assertParameterAnnotations,"    private void assertParameterAnnotations(final Method method, final int... expectedNumberOfParmeterAnnotations)
    {
        final String methodName= ""For ""+method.getName();
        final ParameterAnnotationEntry[] parameterAnnotations= method.getParameterAnnotationEntries();
        assertEquals(methodName, expectedNumberOfParmeterAnnotations.length, parameterAnnotations.length);

        int i= 0;
        for (final ParameterAnnotationEntry parameterAnnotation : parameterAnnotations)
        {
            final AnnotationEntry[] annos= parameterAnnotation.getAnnotationEntries();
            final int expectedLength = expectedNumberOfParmeterAnnotations[i++];
            assertEquals(methodName+"" parameter ""+i, expectedLength, annos.length);
            if(expectedLength!=0)
            {
                assertSimpleElementValue(annos[0]);
            }
        }
    }
",src/test/java/org/apache/bcel/generic/GeneratingAnnotatedClassesTestCase.java
bcel_73_10,"    public void testTransformClassToClassGen_ArrayAndAnnotationTypes_10_oe()
            throws ClassNotFoundException
    {
        final JavaClass jc = getTestClass(PACKAGE_BASE_NAME+"".data.AnnotatedWithCombinedAnnotation"");
        final ClassGen cgen = new ClassGen(jc);
        // Check annotations are correctly preserved
        final AnnotationEntryGen[] annotations = cgen.getAnnotationEntries();
        // removed other assertion
        final AnnotationEntryGen a = annotations[0];
        // removed other assertion
        final ElementValuePairGen nvp = a.getValues().get(0);
        final ElementValueGen value = nvp.getValue();
        // removed other assertion
        final ArrayElementValueGen arrayValue = (ArrayElementValueGen) value;
        // removed other assertion
        final ElementValueGen innerValue = arrayValue.getElementValues().get(0);
        // removed other assertion
        final AnnotationElementValueGen innerAnnotationValue = (AnnotationElementValueGen) innerValue;
        // removed other assertion

        // check the three methods
        final Method[] methods = cgen.getMethods();
        // removed other assertion
        for (final Method method : methods)
        {
            final String methodName= method.getName();
            if(methodName.equals(""<init>""))
            {
                // removed other assertion
                // removed other assertion
            }
            else if(methodName.equals(""methodWithArrayOfZeroAnnotations""))
            {
                assertMethodAnnotations(method, 1, 0);
    }
    }
    }
",GeneratingAnnotatedClassesTestCase::testTransformClassToClassGen_ArrayAndAnnotationTypes_10_oe,assertMethodAnnotations,"    private void assertMethodAnnotations(final Method method, final int expectedNumberAnnotations, final int nExpectedArrayValues)
    {
        final String methodName= method.getName();
        final AnnotationEntry[] annos= method.getAnnotationEntries();
        assertEquals(""For ""+methodName, expectedNumberAnnotations, annos.length);
        if(expectedNumberAnnotations!=0)
        {
            assertArrayElementValue(nExpectedArrayValues, annos[0]);
        }
    }
",src/test/java/org/apache/bcel/generic/GeneratingAnnotatedClassesTestCase.java
bcel_73_11,"    public void testTransformClassToClassGen_ArrayAndAnnotationTypes_11_oe()
            throws ClassNotFoundException
    {
        final JavaClass jc = getTestClass(PACKAGE_BASE_NAME+"".data.AnnotatedWithCombinedAnnotation"");
        final ClassGen cgen = new ClassGen(jc);
        // Check annotations are correctly preserved
        final AnnotationEntryGen[] annotations = cgen.getAnnotationEntries();
        // removed other assertion
        final AnnotationEntryGen a = annotations[0];
        // removed other assertion
        final ElementValuePairGen nvp = a.getValues().get(0);
        final ElementValueGen value = nvp.getValue();
        // removed other assertion
        final ArrayElementValueGen arrayValue = (ArrayElementValueGen) value;
        // removed other assertion
        final ElementValueGen innerValue = arrayValue.getElementValues().get(0);
        // removed other assertion
        final AnnotationElementValueGen innerAnnotationValue = (AnnotationElementValueGen) innerValue;
        // removed other assertion

        // check the three methods
        final Method[] methods = cgen.getMethods();
        // removed other assertion
        for (final Method method : methods)
        {
            final String methodName= method.getName();
            if(methodName.equals(""<init>""))
            {
                // removed other assertion
                // removed other assertion
            }
            else if(methodName.equals(""methodWithArrayOfZeroAnnotations""))
            {
                // removed other assertion
            }
            else if(methodName.equals(""methodWithArrayOfTwoAnnotations""))
            {
                assertMethodAnnotations(method, 1, 2);
    }
    }
    }
",GeneratingAnnotatedClassesTestCase::testTransformClassToClassGen_ArrayAndAnnotationTypes_11_oe,assertMethodAnnotations,"    private void assertMethodAnnotations(final Method method, final int expectedNumberAnnotations, final int nExpectedArrayValues)
    {
        final String methodName= method.getName();
        final AnnotationEntry[] annos= method.getAnnotationEntries();
        assertEquals(""For ""+methodName, expectedNumberAnnotations, annos.length);
        if(expectedNumberAnnotations!=0)
        {
            assertArrayElementValue(nExpectedArrayValues, annos[0]);
        }
    }
",src/test/java/org/apache/bcel/generic/GeneratingAnnotatedClassesTestCase.java
bcel_104_1,"    public void testInvalidReturn_1_oe() throws IOException {
        new TestReturn01Creator().create();
        assertVerifyRejected(""TestReturn01"", ""Verification of a void method that returns an object must fail."");
    }
",VerifierReturnTestCase::testInvalidReturn_1_oe,assertVerifyRejected,"    public void assertVerifyRejected(final String classname, final String message) {
        final String testClassname = TEST_PACKAGE + classname;
        assertFalse(message, doAllPasses(testClassname));
    }
",src/test/java/org/apache/bcel/verifier/AbstractVerifierTestCase.java
bcel_104_2,"    public void testInvalidReturn_2_oe() throws IOException {
        new TestReturn01Creator().create();
        // removed other assertion
        new TestReturn03Creator().create();
        assertVerifyRejected(""TestReturn03"", ""Verification of an int method that returns null must fail."");
    }
",VerifierReturnTestCase::testInvalidReturn_2_oe,assertVerifyRejected,"    public void assertVerifyRejected(final String classname, final String message) {
        final String testClassname = TEST_PACKAGE + classname;
        assertFalse(message, doAllPasses(testClassname));
    }
",src/test/java/org/apache/bcel/verifier/AbstractVerifierTestCase.java
bcel_105_1,"    public void testValidReturn_1_oe() {
        assertVerifyOK(""TestReturn02"", ""Verification of a method that returns a newly created object must pass."");
    }
",VerifierReturnTestCase::testValidReturn_1_oe,assertVerifyOK,"    public void assertVerifyOK(final String classname, final String message) {
        final String testClassname = TEST_PACKAGE + classname;
        assertTrue(message, doAllPasses(testClassname));
    }
",src/test/java/org/apache/bcel/verifier/AbstractVerifierTestCase.java
bcel_105_2,"    public void testValidReturn_2_oe() {
        // removed other assertion
        assertVerifyOK(""TestArray01"", ""Verification of a method that returns an array must pass."");
    }
",VerifierReturnTestCase::testValidReturn_2_oe,assertVerifyOK,"    public void assertVerifyOK(final String classname, final String message) {
        final String testClassname = TEST_PACKAGE + classname;
        assertTrue(message, doAllPasses(testClassname));
    }
",src/test/java/org/apache/bcel/verifier/AbstractVerifierTestCase.java
bcel_107_1,"    public void testLegalInvokeVirtual_1_oe() {
        assertVerifyOK(""TestLegalInvokeVirtual01"", ""Verification of invokevirtual on method defined in superclass must pass."");
    }
",VerifierInvokeTestCase::testLegalInvokeVirtual_1_oe,assertVerifyOK,"    public void assertVerifyOK(final String classname, final String message) {
        final String testClassname = TEST_PACKAGE + classname;
        assertTrue(message, doAllPasses(testClassname));
    }
",src/test/java/org/apache/bcel/verifier/AbstractVerifierTestCase.java
bcel_107_2,"    public void testLegalInvokeVirtual_2_oe() {
        // removed other assertion
        assertVerifyOK(""TestLegalInvokeVirtual02"", ""Verification of invokevirtual on method defined in superinterface must pass."");
    }
",VerifierInvokeTestCase::testLegalInvokeVirtual_2_oe,assertVerifyOK,"    public void assertVerifyOK(final String classname, final String message) {
        final String testClassname = TEST_PACKAGE + classname;
        assertTrue(message, doAllPasses(testClassname));
    }
",src/test/java/org/apache/bcel/verifier/AbstractVerifierTestCase.java
