total_mvn_tests_run,project,line_coverage,tests_examined_pit,mutation_score_percent,generated_mutants,mutants_killed,test_strength_percent
1286,commons-beanutils-1.9.4,3768/6356 (59%),294,55,4279,2346,79
2705,commons-configuration2-2.8.0-src,9758/11080 (88%),579,77,8296,6351,86
6504,commons-lang3-3.12.0-src,14652/15892 (92%),875,82,17992,14796,87
309,commons-dbutils-1.7,944/1487 (63%),121,47,970,453,73
289,commons-net-3.8.0,2812/9354 (30%),266,22,7568,1698,71
331,commons-pool2-2.11.1-src,0/3123 (0%),176,0,1937,0,100
965,commons-imaging-1.0-alpha3-src,12351/16306 (76%),593,53,15596,8201,67
156,commons-geometry-1.0-src/commons-geometry-io-core,612/613 (99%),40,93,509,471,93
387,commons-geometry-1.0-src/commons-geometry-spherical,1282/1289 (99%),52,90,1085,972,90
233,commons-geometry-1.0-src/commons-geometry-io-euclidean,1091/1095 (99%),64,97,684,665,97
576,commons-validator-1.7,2483/3171 (78%),157,69,2943,2028,81
16,springside4/modules/metrics,388/646 (60%),32,20,325,66,36
145,springside4/modules/utils,2017/7213 (28%),270,17,7866,1376,71
10,commons-numbers-1.0-src/commons-numbers-arrays,0/75 (0%),5,0,70,0,100
7,commons-numbers-1.0-src/commons-numbers-rootfinder,0/82 (0%),6,0,117,0,100
161,commons-numbers-1.0-src/commons-numbers-complex,0/681 (0%),16,0,1073,0,100
59,commons-numbers-1.0-src/commons-numbers-quaternion,0/195 (0%),12,0,231,0,100
18,commons-numbers-1.0-src/commons-numbers-primes,0/116 (0%),4,0,115,0,100
22,commons-numbers-1.0-src/commons-numbers-angle,0/59 (0%),10,0,52,0,100
62,commons-numbers-1.0-src/commons-numbers-combinatorics,0/218 (0%),18,0,290,0,100
83,commons-numbers-1.0-src/commons-numbers-gamma,0/434 (0%),37,0,887,0,100
100,commons-numbers-1.0-src/commons-numbers-core,0/492 (0%),16,0,571,0,100
89,commons-numbers-1.0-src/commons-numbers-fraction,0/553 (0%),19,0,655,0,100
58,commons-numbers-1.0-src/commons-numbers-field,0/55 (0%),8,0,50,0,100
257,JSON-java,1925/2457 (78%),77,61,2391,1448,73
10,commons-jcs3-3.1-src/commons-jcs-jcache,637/1821 (35%),73,22,1293,290,62
2,commons-jcs3-3.1-src/commons-jcs-jcache-openjpa,105/138 (76%),8,30,83,25,37
82,scribejava/scribejava-core,741/1609 (46%),139,30,1078,323,67
929,commons-rng-1.4-src/commons-rng-simple,0/510 (0%),55,0,326,0,100
352,commons-rng-1.4-src/commons-rng-core,0/1601 (0%),120,0,1386,0,100
565,commons-rng-1.4-src/commons-rng-sampling,0/2489 (0%),242,0,2512,0,100
7,commons-weaver-2.0-src/processor,467/795 (59%),71,57,484,277,91
,commons-weaver-2.0-src/modules/privilizer/weaver,0/709 (0%),24,0,488,0,100
8,commons-weaver-2.0-src/modules/normalizer,26/244 (11%),13,13,131,17,94
138,bcel-6.5.0-src,7630/15824 (48%),452,27,10786,2933,58
158,http-request,588/715 (82%),158,69,603,417,75
3882,joda-time,12766/14450 (88%),443,70,13119,9179,79
