folder_path,pom_path,project_version,junit_versions,pit_version,maven_plugin_versions
commons-beanutils-1.9.4,commons-beanutils-1.9.4/pom.xml,1.9.4,junit:junit:4.12,1.22.0,maven-antrun-plugin:<no-version>;maven-changes-plugin:${commons.changes.version};maven-checkstyle-plugin:2.6;maven-javadoc-plugin:<no-version>;maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:<no-version>
commons-configuration2-2.8.0-src,commons-configuration2-2.8.0-src/pom.xml,2.8.0,junit-addons:junit-addons:1.4;junit:junit:4.12;junit:junit:4.13.2,1.22.0,maven-changes-plugin:${commons.changes.version};maven-checkstyle-plugin:3.1.2;maven-checkstyle-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:2.22.0;maven-surefire-plugin:<no-version>
commons-lang3-3.12.0-src,commons-lang3-3.12.0-src/pom.xml,3.12.0,junit:junit:4.12;org.junit-pioneer:junit-pioneer:1.3.0;org.junit.jupiter:junit-jupiter:<no-version>;org.junit:junit-bom:5.7.1,1.22.0,maven-antrun-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:${commons.surefire.version};maven-surefire-plugin:<no-version>
commons-jexl3-3.2.1-src,commons-jexl3-3.2.1-src/pom.xml,3.2.1,junit:junit:4.12,1.22.0,maven-changes-plugin:2.12.1;maven-checkstyle-plugin:${checkstyle.plugin.version};maven-compiler-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-pmd-plugin:3.14.0;maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:2.22.0
commons-dbutils-1.7,commons-dbutils-1.7/pom.xml,1.7,junit:junit:4.12,1.22.0,maven-changes-plugin:${commons.changes.version};maven-checkstyle-plugin:<no-version>;maven-pmd-plugin:<no-version>;maven-surefire-plugin:2.22.0
commons-net-3.8.0,commons-net-3.8.0/pom.xml,3.8.0,junit:junit:4.12,1.22.0,maven-checkstyle-plugin:${commons.checkstyle-plugin.version};maven-compiler-plugin:${commons.compiler.version};maven-jar-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-scm-publish-plugin:<no-version>;maven-source-plugin:<no-version>;maven-surefire-plugin:2.22.0;maven-surefire-plugin:<no-version>
commons-pool2-2.11.1-src,commons-pool2-2.11.1-src/pom.xml,2.11.1,junit:junit:4.12;org.junit.jupiter:junit-jupiter:<no-version>;org.junit:junit-bom:${junit.version},1.22.0,maven-changes-plugin:${commons.changes.version};maven-checkstyle-plugin:${commons.checkstyle-plugin.version};maven-checkstyle-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-project-info-reports-plugin:${commons.project-info.version};maven-release-plugin:<no-version>;maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:3.0.0-M7;maven-surefire-plugin:<no-version>
commons-imaging-1.0-alpha3-src,commons-imaging-1.0-alpha3-src/pom.xml,1.0-alpha3,junit:junit:4.12;org.junit.jupiter:junit-jupiter:${junit.version};org.junit.platform:junit-platform-launcher:1.8.2,1.22.0,maven-antrun-plugin:<no-version>;maven-assembly-plugin:<no-version>;maven-changes-plugin:${commons.changes.version};maven-jar-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-pmd-plugin:3.16.0;maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:2.22.2
commons-geometry-1.0-src,commons-geometry-1.0-src/pom.xml,1.0,junit:junit:4.12;org.junit:junit-bom:${junit.version},,maven-antrun-plugin:${geometry.antrun.version};maven-changes-plugin:${commons.changes.version};maven-checkstyle-plugin:${geometry.checkstyle.version};maven-compiler-plugin:<no-version>;maven-jar-plugin:<no-version>;maven-javadoc-plugin:<no-version>;maven-scm-publish-plugin:<no-version>;maven-surefire-plugin:3.0.0-M7;maven-surefire-plugin:<no-version>
commons-geometry-1.0-src/commons-geometry-io-core,commons-geometry-1.0-src/commons-geometry-io-core/pom.xml,1.0,org.junit.jupiter:junit-jupiter:<no-version>;org.junit.platform:junit-platform-launcher:1.8.0-M1,1.22.0,maven-jar-plugin:<no-version>
