classname,method,docstring,annotations,method_definition
org.springside.examples.bootapi.service.AccountServiceTest,void hash(),,,"@Test
	public void hash() throws Exception {
		System.out.println(""hashPassword:"" + AccountService.hashPassword(""springside""));
	}"
org.springside.examples.bootapi.service.BookBorrowServiceTest,void setup(),,,"@Before
	public void setup() {
		service = new BookBorrowService();
		mockBookDao = Mockito.mock(BookDao.class);
		mockMessageDao = Mockito.mock(MessageDao.class);
		service.bookDao = mockBookDao;
		service.messageDao = mockMessageDao;

		appender = new LogbackListAppender();
		appender.addToLogger(BookBorrowService.class);
	}"
org.springside.examples.bootapi.service.BookBorrowServiceTest,void tearDown(),,,"public void tearDown() {
		appender.removeFromLogger(BookBorrowService.class);
	}"
org.springside.examples.bootapi.service.BookBorrowServiceTest,void applyBorrowRequest(),,,"@Test
	public void applyBorrowRequest() {

		Book book = new Book(1L);
		book.status = Book.STATUS_IDLE;
		book.owner = new Account(1L);

		Mockito.when(mockBookDao.findOne(1L)).thenReturn(book);

		service.applyBorrowRequest(1L, new Account(3L));

		Mockito.verify(mockBookDao).save(Mockito.any(Book.class));
		Mockito.verify(mockMessageDao).save(Mockito.any(Message.class));
	}"
org.springside.examples.bootapi.service.BookBorrowServiceTest,void applyBorrowRequestWithError(),,,"@Test
	public void applyBorrowRequestWithError() {

		// 自己借自己的书
		Book book = new Book(1L);
		book.status = Book.STATUS_IDLE;
		book.owner = new Account(1L);

		Mockito.when(mockBookDao.findOne(1L)).thenReturn(book);
		try {
			service.applyBorrowRequest(1L, new Account(1L));
			fail(""should fail here"");
		} catch (Exception e) {
			assertThat(e).hasMessageContaining(""User shouldn't borrower the book which is himeself"");
			assertThat(appender.getLastMessage()).contains(""user id:1,book id:1"");
		}
		// 保证BookDao没被调用
		Mockito.verify(mockBookDao, Mockito.never()).save(Mockito.any(Book.class));

		// 借已借出的书
		book.status = Book.STATUS_REQUEST;

		try {
			service.applyBorrowRequest(1L, new Account(3L));
			fail(""should fail here"");
		} catch (Exception e) {
			assertThat(e).hasMessageContaining(""The book is not idle"");
			assertThat(appender.getLastMessage()).contains(""user id:3,book id:1,status:request"");
		}
		Mockito.verify(mockBookDao, Mockito.never()).save(Mockito.any(Book.class));
	}"
org.springside.examples.bootapi.functional.BookEndpointTest,void setup(),,,"@Before
	public void setup() {
		// TestRestTemplate与RestTemplate, 服务端返回非200返回码时，不会抛异常.
		restTemplate = new TestRestTemplate();
		resourceUrl = ""http://localhost:"" + port + ""/api/books"";
		loginUrl = ""http://localhost:"" + port + ""/api/accounts/login"";
		logoutUrl = ""http://localhost:"" + port + ""/api/accounts/logout"";
	}"
org.springside.examples.bootapi.functional.BookEndpointTest,void listBook(),,,"@Test
	public void listBook() {
		BookList tasks = restTemplate.getForObject(resourceUrl, BookList.class);
		assertThat(tasks).hasSize(3);
		BookDto firstBook = tasks.get(0);

		assertThat(firstBook.title).isEqualTo(""Big Data日知录"");
		assertThat(firstBook.owner.name).isEqualTo(""Calvin"");

		BookDto book = restTemplate.getForObject(resourceUrl + ""/{id}"", BookDto.class, 1L);
		assertThat(book.title).isEqualTo(""Big Data日知录"");
		assertThat(book.owner.name).isEqualTo(""Calvin"");
	}"
org.springside.examples.bootapi.functional.BookEndpointTest,void applyRequest(),,,"@Test
	public void applyRequest() {
		String token = login(""calvin.xiao@springside.io"");

		ResponseEntity<String> response = restTemplate.getForEntity(resourceUrl + ""/{id}/request?token={token}"",
				String.class, 3L, token);
		assertThat(response.getStatusCode()).isEqualTo(HttpStatus.OK);

		// 查询数据库状态
		Book book = bookDao.findOne(3L);
		assertThat(book.borrower.id).isEqualTo(1L);
		assertThat(book.status).isEqualTo(Book.STATUS_REQUEST);

		// 回退操作
		response = restTemplate.getForEntity(resourceUrl + ""/{id}/cancel?token={token}"", String.class, 3L, token);
		assertThat(response.getStatusCode()).isEqualTo(HttpStatus.OK);

		logout(token);
	}"
org.springside.examples.bootapi.functional.BookEndpointTest,void applyRequestWithError(),,,"@Test
	public void applyRequestWithError() {
		// 未设置token
		ResponseEntity<String> response = restTemplate.getForEntity(resourceUrl + ""/{id}/request"", String.class, 1L);
		assertThat(response.getStatusCode()).isEqualTo(HttpStatus.UNAUTHORIZED);
		ErrorResult errorResult = jsonMapper.fromJson(response.getBody(), ErrorResult.class);
		assertThat(errorResult.code).isEqualTo(ErrorCode.NO_TOKEN.code);

		Book book = bookDao.findOne(1L);
		assertThat(book.borrower).isNull();

		// 设置错误token
		response = restTemplate.getForEntity(resourceUrl + ""/{id}/request?token={token}"", String.class, 1L, ""abc"");
		assertThat(response.getStatusCode()).isEqualTo(HttpStatus.UNAUTHORIZED);
		errorResult = jsonMapper.fromJson(response.getBody(), ErrorResult.class);
		assertThat(errorResult.code).isEqualTo(ErrorCode.UNAUTHORIZED.code);

		book = bookDao.findOne(1L);
		assertThat(book.borrower).isNull();

		// 自己借自己的书
		String token = login(""calvin.xiao@springside.io"");

		response = restTemplate.getForEntity(resourceUrl + ""/{id}/request?token={token}"", String.class, 1L, token);
		assertThat(response.getStatusCode()).isEqualTo(HttpStatus.FORBIDDEN);
		errorResult = jsonMapper.fromJson(response.getBody(), ErrorResult.class);
		assertThat(errorResult.code).isEqualTo(ErrorCode.BOOK_OWNERSHIP_WRONG.code);

		book = bookDao.findOne(1L);
		assertThat(book.borrower).isNull();

		logout(token);

		// 借一本已被申请借出的书
		token = login(""calvin.xiao@springside.io"");

		response = restTemplate.getForEntity(resourceUrl + ""/{id}/request?token={token}"", String.class, 3L, token);
		assertThat(response.getStatusCode()).isEqualTo(HttpStatus.OK);

		response = restTemplate.getForEntity(resourceUrl + ""/{id}/request?token={token}"", String.class, 3L, token);
		assertThat(response.getStatusCode()).isEqualTo(HttpStatus.BAD_REQUEST);
		errorResult = jsonMapper.fromJson(response.getBody(), ErrorResult.class);
		assertThat(errorResult.code).isEqualTo(ErrorCode.BOOK_STATUS_WRONG.code);

		// 回退操作
		response = restTemplate.getForEntity(resourceUrl + ""/{id}/cancel?token={token}"", String.class, 3L, token);
		assertThat(response.getStatusCode()).isEqualTo(HttpStatus.OK);

		logout(token);
	}"
org.springside.examples.bootapi.functional.BookEndpointTest,void fullBorrowProcess(),,,"@Test
	public void fullBorrowProcess() {
		// 发起请求
		String token = login(""david.wang@springside.io"");

		ResponseEntity<String> response = restTemplate.getForEntity(resourceUrl + ""/{id}/request?token={token}"",
				String.class, 1L, token);
		assertThat(response.getStatusCode()).isEqualTo(HttpStatus.OK);

		logout(token);

		// 确认借出
		token = login(""calvin.xiao@springside.io"");

		response = restTemplate.getForEntity(resourceUrl + ""/{id}/confirm?token={token}"", String.class, 1L, token);
		assertThat(response.getStatusCode()).isEqualTo(HttpStatus.OK);

		// 确认归还
		response = restTemplate.getForEntity(resourceUrl + ""/{id}/return?token={token}"", String.class, 1L, token);
		assertThat(response.getStatusCode()).isEqualTo(HttpStatus.OK);

		logout(token);
	}"
