focal_method,test_prefix,docstring
"    public LazyDynaBean() {
        this(new LazyDynaClass());
    }","  public void test0()  throws Throwable  {
      LazyDynaBean lazyDynaBean0 = null;
      try {
        lazyDynaBean0 = new LazyDynaBean((DynaClass) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.beanutils.LazyDynaBean"", e);
      }
  }","/**
     * Construct a new <code>LazyDynaBean</code> with a <code>LazyDynaClass</code> instance.
     */"
"    public LazyDynaBean() {
        this(new LazyDynaClass());
    }","  public void test1()  throws Throwable  {
      LazyDynaBean lazyDynaBean0 = new LazyDynaBean();
  }","/**
     * Construct a new <code>LazyDynaBean</code> with a <code>LazyDynaClass</code> instance.
     */"
"    public LazyDynaBean() {
        this(new LazyDynaClass());
    }","  public void test2()  throws Throwable  {
      Class<ConvertingWrapDynaBean> class0 = ConvertingWrapDynaBean.class;
      WrapDynaClass wrapDynaClass0 = WrapDynaClass.createDynaClass(class0);
      LazyDynaBean lazyDynaBean0 = new LazyDynaBean(wrapDynaClass0);
  }","/**
     * Construct a new <code>LazyDynaBean</code> with a <code>LazyDynaClass</code> instance.
     */"
"    public LazyDynaBean() {
        this(new LazyDynaClass());
    }","  public void test3()  throws Throwable  {
      LazyDynaBean lazyDynaBean0 = new LazyDynaBean("""");
  }","/**
     * Construct a new <code>LazyDynaBean</code> with a <code>LazyDynaClass</code> instance.
     */"
"    public Class<?> getTargetClass() {
        return currentClass;
    }","  public void test0()  throws Throwable  {
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext((Class<?>) null);
      Class<?> class0 = defaultIntrospectionContext0.getTargetClass();
      assertNull(class0);
}",
"    public Class<?> getTargetClass() {
        return currentClass;
    }","  public void test1()  throws Throwable  {
      Class<Annotation> class0 = Annotation.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      Class<?> class1 = defaultIntrospectionContext0.getTargetClass();
      assertFalse(class1.isEnum());
}",
"    public PropertyDescriptor[] getPropertyDescriptors() {
        return descriptors.values().toArray(EMPTY_DESCRIPTORS);
    }","  public void test2()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor propertyDescriptor0 = new PropertyDescriptor(""Property descriptor must not be null!"", class0, (String) null, (String) null);
      defaultIntrospectionContext0.addPropertyDescriptor(propertyDescriptor0);
      PropertyDescriptor[] propertyDescriptorArray0 = defaultIntrospectionContext0.getPropertyDescriptors();
      assertEquals(1, propertyDescriptorArray0.length);
}","/**
     * Returns an array with all descriptors added to this context. This method
     * is used to obtain the results of introspection.
     *
     * @return an array with all known property descriptors
     */"
"    public PropertyDescriptor getPropertyDescriptor(final String name) {
        return descriptors.get(name);
    }","  public void test3()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor propertyDescriptor0 = new PropertyDescriptor("" y%"", class0, (String) null, (String) null);
      propertyDescriptor0.setPreferred(true);
      defaultIntrospectionContext0.addPropertyDescriptor(propertyDescriptor0);
      PropertyDescriptor propertyDescriptor1 = defaultIntrospectionContext0.getPropertyDescriptor("" y%"");
      assertTrue(propertyDescriptor1.isPreferred());
}",
"    public PropertyDescriptor getPropertyDescriptor(final String name) {
        return descriptors.get(name);
    }","  public void test4()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor propertyDescriptor0 = new PropertyDescriptor(""Property descriptor must not be null!"", class0, (String) null, (String) null);
      propertyDescriptor0.setHidden(true);
      defaultIntrospectionContext0.addPropertyDescriptor(propertyDescriptor0);
      PropertyDescriptor propertyDescriptor1 = defaultIntrospectionContext0.getPropertyDescriptor(""Property descriptor must not be null!"");
      assertFalse(propertyDescriptor1.isExpert());
}",
"    public PropertyDescriptor getPropertyDescriptor(final String name) {
        return descriptors.get(name);
    }","  public void test5()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor propertyDescriptor0 = new PropertyDescriptor("" y%"", class0, (String) null, (String) null);
      propertyDescriptor0.setExpert(true);
      defaultIntrospectionContext0.addPropertyDescriptor(propertyDescriptor0);
      PropertyDescriptor propertyDescriptor1 = defaultIntrospectionContext0.getPropertyDescriptor("" y%"");
      assertFalse(propertyDescriptor1.isConstrained());
}",
"    public PropertyDescriptor getPropertyDescriptor(final String name) {
        return descriptors.get(name);
    }","  public void test6()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor propertyDescriptor0 = new PropertyDescriptor(""M y%"", class0, (String) null, (String) null);
      propertyDescriptor0.setConstrained(true);
      defaultIntrospectionContext0.addPropertyDescriptor(propertyDescriptor0);
      PropertyDescriptor propertyDescriptor1 = defaultIntrospectionContext0.getPropertyDescriptor(""M y%"");
      assertFalse(propertyDescriptor1.isHidden());
}",
"    public PropertyDescriptor getPropertyDescriptor(final String name) {
        return descriptors.get(name);
    }","  public void test7()  throws Throwable  {
      Class<String> class0 = String.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor propertyDescriptor0 = new PropertyDescriptor(""ZQg;=UTsN%3L"", (Method) null, (Method) null);
      propertyDescriptor0.setBound(true);
      defaultIntrospectionContext0.addPropertyDescriptor(propertyDescriptor0);
      PropertyDescriptor propertyDescriptor1 = defaultIntrospectionContext0.getPropertyDescriptor(""ZQg;=UTsN%3L"");
      assertEquals(""ZQg;=UTsN%3L"", propertyDescriptor1.getShortDescription());
}",
"    public boolean hasProperty(final String name) {
        return descriptors.containsKey(name);
    }","  public void test8()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      boolean boolean0 = defaultIntrospectionContext0.hasProperty((String) null);
      assertFalse(boolean0);
}",
"    public void addPropertyDescriptors(final PropertyDescriptor[] descs) {
        if (descs == null) {
            throw new IllegalArgumentException(
                    ""Array with descriptors must not be null!"");
        }

        for (PropertyDescriptor desc : descs) {
            addPropertyDescriptor(desc);
        }
    }","  public void test9()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      PropertyDescriptor[] propertyDescriptorArray0 = new PropertyDescriptor[2];
      // Undeclared exception!
      try { 
        defaultIntrospectionContext0.addPropertyDescriptors(propertyDescriptorArray0);
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // Property descriptor must not be null!
         //
         verifyException(""org.apache.commons.beanutils.DefaultIntrospectionContext"", e);
      }
  }",
"    public void addPropertyDescriptors(final PropertyDescriptor[] descs) {
        if (descs == null) {
            throw new IllegalArgumentException(
                    ""Array with descriptors must not be null!"");
        }

        for (PropertyDescriptor desc : descs) {
            addPropertyDescriptor(desc);
        }
    }","  public void test10()  throws Throwable  {
      Class<String> class0 = String.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      // Undeclared exception!
      try { 
        defaultIntrospectionContext0.addPropertyDescriptors((PropertyDescriptor[]) null);
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // Array with descriptors must not be null!
         //
         verifyException(""org.apache.commons.beanutils.DefaultIntrospectionContext"", e);
      }
  }",
"    public void addPropertyDescriptor(final PropertyDescriptor desc) {
        if (desc == null) {
            throw new IllegalArgumentException(
                    ""Property descriptor must not be null!"");
        }
        descriptors.put(desc.getName(), desc);
    }","  public void test11()  throws Throwable  {
      Class<Object> class0 = Object.class;
      DefaultIntrospectionContext defaultIntrospectionContext0 = new DefaultIntrospectionContext(class0);
      // Undeclared exception!
      try { 
        defaultIntrospectionContext0.addPropertyDescriptor((PropertyDescriptor) null);
        fail(""Expecting exception: IllegalArgumentException"");
      } catch(IllegalArgumentException e) {
         //
         // Property descriptor must not be null!
         //
         verifyException(""org.apache.commons.beanutils.DefaultIntrospectionContext"", e);
      }
  }",
