id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type
bcel_1_1,bcel,AnonymousClassTestCase,,src/test/java/org/apache/bcel/AnonymousClassTestCase.java,,,,ASSERTION_ONLY
bcel_1_2,bcel,AnonymousClassTestCase,,src/test/java/org/apache/bcel/AnonymousClassTestCase.java,,,,ASSERTION_ONLY
bcel_2_1,bcel,AnonymousClassTestCase,,src/test/java/org/apache/bcel/AnonymousClassTestCase.java,,,,ASSERTION_ONLY
bcel_2_2,bcel,AnonymousClassTestCase,,src/test/java/org/apache/bcel/AnonymousClassTestCase.java,,,,ASSERTION_ONLY
bcel_3_1,bcel,AnonymousClassTestCase,,src/test/java/org/apache/bcel/AnonymousClassTestCase.java,,,,ASSERTION_ONLY
bcel_3_2,bcel,AnonymousClassTestCase,,src/test/java/org/apache/bcel/AnonymousClassTestCase.java,,,,ASSERTION_ONLY
bcel_4_1,bcel,AnonymousClassTestCase,,src/test/java/org/apache/bcel/AnonymousClassTestCase.java,,,,ASSERTION_ONLY
bcel_4_2,bcel,AnonymousClassTestCase,,src/test/java/org/apache/bcel/AnonymousClassTestCase.java,,,,ASSERTION_ONLY
bcel_5_1,bcel,PLSETestCase,,src/test/java/org/apache/bcel/PLSETestCase.java,,,,ASSERTION_ONLY
bcel_6_1,bcel,PLSETestCase,,src/test/java/org/apache/bcel/PLSETestCase.java,,,,ASSERTION_ONLY
bcel_7_1,bcel,PLSETestCase,,src/test/java/org/apache/bcel/PLSETestCase.java,,,,ASSERTION_ONLY
bcel_8_1,bcel,EnclosingMethodAttributeTestCase,,src/test/java/org/apache/bcel/EnclosingMethodAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_8_2,bcel,EnclosingMethodAttributeTestCase,,src/test/java/org/apache/bcel/EnclosingMethodAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_8_3,bcel,EnclosingMethodAttributeTestCase,,src/test/java/org/apache/bcel/EnclosingMethodAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_9_1,bcel,EnclosingMethodAttributeTestCase,,src/test/java/org/apache/bcel/EnclosingMethodAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_9_2,bcel,EnclosingMethodAttributeTestCase,,src/test/java/org/apache/bcel/EnclosingMethodAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_9_3,bcel,EnclosingMethodAttributeTestCase,,src/test/java/org/apache/bcel/EnclosingMethodAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_10_1,bcel,EnclosingMethodAttributeTestCase,,src/test/java/org/apache/bcel/EnclosingMethodAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_10_2,bcel,EnclosingMethodAttributeTestCase,,src/test/java/org/apache/bcel/EnclosingMethodAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_10_3,bcel,EnclosingMethodAttributeTestCase,,src/test/java/org/apache/bcel/EnclosingMethodAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_10_4,bcel,EnclosingMethodAttributeTestCase,,src/test/java/org/apache/bcel/EnclosingMethodAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_11_1,bcel,AnnotationDefaultAttributeTestCase,,src/test/java/org/apache/bcel/AnnotationDefaultAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_11_2,bcel,AnnotationDefaultAttributeTestCase,,src/test/java/org/apache/bcel/AnnotationDefaultAttributeTestCase.java,,,,ASSERTION_ONLY
bcel_12_1,bcel,EnumAccessFlagTestCase,,src/test/java/org/apache/bcel/EnumAccessFlagTestCase.java,,,,ASSERTION_ONLY
bcel_12_2,bcel,EnumAccessFlagTestCase,,src/test/java/org/apache/bcel/EnumAccessFlagTestCase.java,,,,ASSERTION_ONLY
bcel_13_1,bcel,ElementValueGenTestCase,,src/test/java/org/apache/bcel/ElementValueGenTestCase.java,,,,ASSERTION_ONLY
bcel_14_1,bcel,ElementValueGenTestCase,,src/test/java/org/apache/bcel/ElementValueGenTestCase.java,,,,ASSERTION_ONLY
bcel_15_1,bcel,ElementValueGenTestCase,,src/test/java/org/apache/bcel/ElementValueGenTestCase.java,,,,ASSERTION_ONLY
bcel_16_1,bcel,ElementValueGenTestCase,,src/test/java/org/apache/bcel/ElementValueGenTestCase.java,,,,ASSERTION_ONLY
bcel_17_1,bcel,ElementValueGenTestCase,,src/test/java/org/apache/bcel/ElementValueGenTestCase.java,,,,ASSERTION_ONLY
bcel_18_1,bcel,ElementValueGenTestCase,,src/test/java/org/apache/bcel/ElementValueGenTestCase.java,,,,ASSERTION_ONLY
bcel_19_1,bcel,ElementValueGenTestCase,,src/test/java/org/apache/bcel/ElementValueGenTestCase.java,,,,ASSERTION_ONLY
bcel_20_1,bcel,ElementValueGenTestCase,,src/test/java/org/apache/bcel/ElementValueGenTestCase.java,,,,ASSERTION_ONLY
bcel_21_1,bcel,ElementValueGenTestCase,,src/test/java/org/apache/bcel/ElementValueGenTestCase.java,,,,ASSERTION_ONLY
bcel_22_1,bcel,ElementValueGenTestCase,,src/test/java/org/apache/bcel/ElementValueGenTestCase.java,,,,ASSERTION_ONLY
bcel_23_1,bcel,ElementValueGenTestCase,,src/test/java/org/apache/bcel/ElementValueGenTestCase.java,,,,ASSERTION_ONLY
bcel_24_1,bcel,CounterVisitorTestCase,,src/test/java/org/apache/bcel/CounterVisitorTestCase.java,,,,ASSERTION_ONLY
bcel_25_1,bcel,CounterVisitorTestCase,,src/test/java/org/apache/bcel/CounterVisitorTestCase.java,,,,ASSERTION_ONLY
bcel_26_1,bcel,CounterVisitorTestCase,,src/test/java/org/apache/bcel/CounterVisitorTestCase.java,,,,ASSERTION_ONLY
