classname,method,docstring,method_definition
spark.FilterImpl,withPrefix(String prefix),"/**
     * Prefix the path (used for {@link Service#path})
     *
     * @param prefix the prefix
     * @return itself for easy chaining
     */","public FilterImpl withPrefix(String prefix) {
        this.path = prefix + this.path;
        return this;
    }"
spark.FilterImpl,"create(final String path, final Filter filter)","/**
     * Wraps the filter in FilterImpl
     *
     * @param path   the path
     * @param filter the filter
     * @return the wrapped route
     */","static FilterImpl create(final String path, final Filter filter) {
        return create(path, DEFAULT_ACCEPT_TYPE, filter);
    }"
spark.FilterImpl,"create(final String path, String acceptType, final Filter filter)","/**
     * Wraps the filter in FilterImpl
     *
     * @param path       the path
     * @param acceptType the accept type
     * @param filter     the filter
     * @return the wrapped route
     */","static FilterImpl create(final String path, String acceptType, final Filter filter) {
        if (acceptType == null) {
            acceptType = DEFAULT_ACCEPT_TYPE;
        }
        return new FilterImpl(path, acceptType, filter) {
            @Override
            public void handle(Request request, Response response) throws Exception {
                filter.handle(request, response);
            }
        };
    }"
spark.FilterImpl,"void handle(Request request, Response response)",,"@Override
            public void handle(Request request, Response response) throws Exception {
                filter.handle(request, response);
            }"
spark.FilterImpl,"void handle(Request request, Response response)","/**
     * Invoked when a request is made on this filter's corresponding path e.g. '/hello'
     *
     * @param request  The request object providing information about the HTTP request
     * @param response The response object providing functionality for modifying the response
     */","public abstract void handle(Request request, Response response) throws Exception;"
spark.FilterImpl,getAcceptType(),,"public String getAcceptType() {
        return acceptType;
    }"
spark.FilterImpl,getPath(),"/**
     * Returns this route's path
     */","public String getPath() {
        return this.path;
    }"
spark.FilterImpl,delegate(),"/**
     * @return the filter used to create the filter implementation
     */","@Override
    public Object delegate() {
        return this.delegate;
    }"
spark.Service,ignite(),"/**
     * Creates a new Service (a Spark instance). This should be used instead of the static API if the user wants
     * multiple services in one process.
     *
     * @return the newly created object
     */","public static Service ignite() {
        return new Service();
    }"
spark.Service,void embeddedServerIdentifier(Object obj),"/**
     * Set the identifier used to select the EmbeddedServer;
     * null for the default.
     *
     * @param obj the identifier passed to {@link EmbeddedServers}.
     */","public synchronized void embeddedServerIdentifier(Object obj) {
        if (initialized) {
            throwBeforeRouteMappingException();
        }
        embeddedServerIdentifier = obj;
    }"
spark.Service,embeddedServerIdentifier(),"/**
     * Get the identifier used to select the EmbeddedServer;
     * null for the default.
     *
     * @param obj the identifier passed to {@link EmbeddedServers}.
     */","public synchronized Object embeddedServerIdentifier() {
        return embeddedServerIdentifier;
    }"
