focal_method,test_prefix,docstring
"    public void put(String path, Route route) {
        addRoute(HttpMethod.put, createRouteImpl(path, route));
    }","  public void test0()  throws Throwable  {
      Service service0 = Service.ignite();
      TemplateViewRoute templateViewRoute0 = mock(TemplateViewRoute.class, new ViolatedAssumptionAnswer());
      TemplateEngine templateEngine0 = mock(TemplateEngine.class, new ViolatedAssumptionAnswer());
      service0.put(""org.eclipse.jetty.servlet.FilterHolder"", ""y&Vy,!H"", templateViewRoute0, templateEngine0);
      assertEquals(4567, Service.SPARK_DEFAULT_PORT);
}","/**
     * Map the route for HTTP PUT requests
     *
     * @param path  the path
     * @param route The route
     */"
"    public void trace(String path, Route route) {
        addRoute(HttpMethod.trace, createRouteImpl(path, route));
    }","  public void test1()  throws Throwable  {
      Service service0 = Service.ignite();
      TemplateViewRoute templateViewRoute0 = mock(TemplateViewRoute.class, new ViolatedAssumptionAnswer());
      TemplateEngine templateEngine0 = mock(TemplateEngine.class, new ViolatedAssumptionAnswer());
      TemplateViewRouteImpl templateViewRouteImpl0 = TemplateViewRouteImpl.create(""http://xmlns.jcp.org/xml/ns/javaee/web-app_3_1.xsd"", templateViewRoute0, templateEngine0);
      service0.trace(""R,]@wL"", ""x"", (Route) templateViewRouteImpl0);
      assertEquals(4567, Service.SPARK_DEFAULT_PORT);
}","/**
     * Map the route for HTTP TRACE requests
     *
     * @param path  the path
     * @param route The route
     */"
"    public void trace(String path, Route route) {
        addRoute(HttpMethod.trace, createRouteImpl(path, route));
    }","  public void test2()  throws Throwable  {
      Service service0 = Service.ignite();
      service0.pathDeque = null;
      TemplateViewRoute templateViewRoute0 = mock(TemplateViewRoute.class, new ViolatedAssumptionAnswer());
      TemplateEngine templateEngine0 = mock(TemplateEngine.class, new ViolatedAssumptionAnswer());
      // Undeclared exception!
      try { 
        service0.trace(""/s%"", ""O"", templateViewRoute0, templateEngine0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""spark.Service"", e);
      }
  }","/**
     * Map the route for HTTP TRACE requests
     *
     * @param path  the path
     * @param route The route
     */"
"    public void patch(String path, Route route) {
        addRoute(HttpMethod.patch, createRouteImpl(path, route));
    }","  public void test3()  throws Throwable  {
      Service service0 = Service.ignite();
      Service service1 = service0.threadPool(0, (-32), 0);
      service1.initialized = true;
      TemplateViewRoute templateViewRoute0 = mock(TemplateViewRoute.class, new ViolatedAssumptionAnswer());
      TemplateEngine templateEngine0 = mock(TemplateEngine.class, new ViolatedAssumptionAnswer());
      TemplateViewRouteImpl templateViewRouteImpl0 = TemplateViewRouteImpl.create("""", templateViewRoute0, templateEngine0);
      // Undeclared exception!
      try { 
        service0.patch("""", (Route) templateViewRouteImpl0, (ResponseTransformer) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""spark.Service"", e);
      }
  }","/**
     * Map the route for HTTP PATCH requests
     *
     * @param path  the path
     * @param route The route
     */"
"    public void head(String path, Route route) {
        addRoute(HttpMethod.head, createRouteImpl(path, route));
    }","  public void test4()  throws Throwable  {
      Service service0 = Service.ignite();
      Service service1 = service0.secure(""mX+_9-"", ""mX+_9-"", (String) null, "" anti-aliased to "", (String) null, false);
      TemplateViewRoute templateViewRoute0 = mock(TemplateViewRoute.class, new ViolatedAssumptionAnswer());
      service1.pathDeque = null;
      TemplateEngine templateEngine0 = mock(TemplateEngine.class, new ViolatedAssumptionAnswer());
      TemplateViewRouteImpl templateViewRouteImpl0 = TemplateViewRouteImpl.create("""", ""Kllq#}LV%br/1/_z"", templateViewRoute0, templateEngine0);
      // Undeclared exception!
      try { 
        service1.head("">d^8o"", """", (Route) templateViewRouteImpl0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""spark.Service"", e);
      }
  }","/**
     * Map the route for HTTP HEAD requests
     *
     * @param path  the path
     * @param route The route
     */"
"    public void get(String path, Route route) {
        addRoute(HttpMethod.get, createRouteImpl(path, route));
    }","  public void test5()  throws Throwable  {
      Service service0 = Service.ignite();
      Service service1 = service0.threadPool(2231);
      service1.pathDeque = null;
      ResponseTransformer responseTransformer0 = mock(ResponseTransformer.class, new ViolatedAssumptionAnswer());
      ResponseTransformerRouteImpl responseTransformerRouteImpl0 = ResponseTransformerRouteImpl.create(""+/*paths"", (Route) null, responseTransformer0);
      ResponseTransformer responseTransformer1 = mock(ResponseTransformer.class, new ViolatedAssumptionAnswer());
      // Undeclared exception!
      try { 
        service0.get("""", """", (Route) responseTransformerRouteImpl0, responseTransformer1);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""spark.Service"", e);
      }
  }","/**
     * Map the route for HTTP GET requests
     *
     * @param path  the path
     * @param route The route
     */"
"    public void options(String path, Route route) {
        addRoute(HttpMethod.options, createRouteImpl(path, route));
    }","  public void test6()  throws Throwable  {
      Service service0 = Service.ignite();
      ResponseTransformer responseTransformer0 = mock(ResponseTransformer.class, new ViolatedAssumptionAnswer());
      service0.defaultResponseTransformer(responseTransformer0);
      TemplateViewRoute templateViewRoute0 = mock(TemplateViewRoute.class, new ViolatedAssumptionAnswer());
      TemplateEngine templateEngine0 = mock(TemplateEngine.class, new ViolatedAssumptionAnswer());
      TemplateViewRouteImpl templateViewRouteImpl0 = TemplateViewRouteImpl.create("""", templateViewRoute0, templateEngine0);
      ResponseTransformer responseTransformer1 = mock(ResponseTransformer.class, new ViolatedAssumptionAnswer());
      ResponseTransformerRouteImpl responseTransformerRouteImpl0 = ResponseTransformerRouteImpl.create((String) null, ""^,&B,<%.Y-VEqDg"", (Route) templateViewRouteImpl0, responseTransformer1);
      service0.options("""", ""Session {} no eviction"", (Route) responseTransformerRouteImpl0);
      assertEquals(4567, Service.SPARK_DEFAULT_PORT);
}","/**
     * Map the route for HTTP OPTIONS requests
     *
     * @param path  the path
     * @param route The route
     */"
"    public void patch(String path, Route route) {
        addRoute(HttpMethod.patch, createRouteImpl(path, route));
    }","  public void test7()  throws Throwable  {
      Service service0 = Service.ignite();
      service0.patch("""", ""org.eclipse.jetty.servlet.SessionIdPathParameterName"", (TemplateViewRoute) null, (TemplateEngine) null);
      assertEquals(4567, Service.SPARK_DEFAULT_PORT);
}","/**
     * Map the route for HTTP PATCH requests
     *
     * @param path  the path
     * @param route The route
     */"
"    public void trace(String path, Route route) {
        addRoute(HttpMethod.trace, createRouteImpl(path, route));
    }","  public void test8()  throws Throwable  {
      Service service0 = Service.ignite();
      TemplateViewRoute templateViewRoute0 = mock(TemplateViewRoute.class, new ViolatedAssumptionAnswer());
      TemplateEngine templateEngine0 = mock(TemplateEngine.class, new ViolatedAssumptionAnswer());
      TemplateViewRouteImpl templateViewRouteImpl0 = TemplateViewRouteImpl.create(""@M-c5T.`"", templateViewRoute0, templateEngine0);
      service0.trace("""", (Route) templateViewRouteImpl0, (ResponseTransformer) null);
      assertEquals(4567, Service.SPARK_DEFAULT_PORT);
}","/**
     * Map the route for HTTP TRACE requests
     *
     * @param path  the path
     * @param route The route
     */"
"    public void trace(String path, Route route) {
        addRoute(HttpMethod.trace, createRouteImpl(path, route));
    }","  public void test9()  throws Throwable  {
      Service service0 = Service.ignite();
      service0.trace(""B$L&c9"", (Route) null);
      assertEquals(4567, Service.SPARK_DEFAULT_PORT);
}","/**
     * Map the route for HTTP TRACE requests
     *
     * @param path  the path
     * @param route The route
     */"
"    public void put(String path, Route route) {
        addRoute(HttpMethod.put, createRouteImpl(path, route));
    }","  public void test10()  throws Throwable  {
      Service service0 = Service.ignite();
      TemplateViewRoute templateViewRoute0 = mock(TemplateViewRoute.class, new ViolatedAssumptionAnswer());
      TemplateEngine templateEngine0 = mock(TemplateEngine.class, new ViolatedAssumptionAnswer());
      TemplateViewRouteImpl templateViewRouteImpl0 = TemplateViewRouteImpl.create(""http://java.sun.com/xml/ns/javaee/web-common_3_0.xsd"", """", templateViewRoute0, templateEngine0);
      service0.put(""OuZ"", (Route) templateViewRouteImpl0);
      assertEquals(4567, Service.SPARK_DEFAULT_PORT);
}","/**
     * Map the route for HTTP PUT requests
     *
     * @param path  the path
     * @param route The route
     */"
"    public void head(String path, Route route) {
        addRoute(HttpMethod.head, createRouteImpl(path, route));
    }","  public void test11()  throws Throwable  {
      Service service0 = Service.ignite();
      ResponseTransformer responseTransformer0 = mock(ResponseTransformer.class, new ViolatedAssumptionAnswer());
      ResponseTransformerRouteImpl responseTransformerRouteImpl0 = ResponseTransformerRouteImpl.create(""+/*paths"", (Route) null, responseTransformer0);
      service0.head(""+/*paths"", ""q-@|*PV"", (Route) responseTransformerRouteImpl0);
      assertEquals(4567, Service.SPARK_DEFAULT_PORT);
}","/**
     * Map the route for HTTP HEAD requests
     *
     * @param path  the path
     * @param route The route
     */"
