classname,method,docstring,annotations,method_definition
code.ClassToLoad,toString(),,,"@Override
    public String toString() {
        return m_message;
    }"
org.apache.commons.vfs2.FileInfo,void addChild(final FileInfo child),"/**
     * Adds a child.
     */",,"public void addChild(final FileInfo child) {
        children.put(child.baseName, child);
        child.parent = this;
    }"
org.apache.commons.vfs2.FileInfo,"addFile(final String baseName, final String content)","/**
     * Adds a child file.
     */",,"public FileInfo addFile(final String baseName, final String content) {
        final FileInfo child = new FileInfo(baseName, FileType.FILE, content);
        addChild(child);
        return child;
    }"
org.apache.commons.vfs2.FileInfo,addFolder(final String baseName),"/**
     * Adds a child folder.
     */",,"public FileInfo addFolder(final String baseName) {
        final FileInfo child = new FileInfo(baseName, FileType.FOLDER, null);
        addChild(child);
        return child;
    }"
org.apache.commons.vfs2.FileInfo,getBaseName(),"/**
     * Returns the base name for the file.
     *
     * @return the base name
     */",,"public String getBaseName() {
        return baseName;
    }"
org.apache.commons.vfs2.FileInfo,getChildren(),"/**
     * Returns a {@code Map} of this {@code FileInfo}'s children.
     * @return the {@code FileInfo}'s children
     */",,"public Map<String, FileInfo> getChildren() {
        return children;
    }"
org.apache.commons.vfs2.FileInfo,getContent(),"/**
     * Returns file's content.
     *
     * @return the content as a {@code String}
     */",,"public String getContent() {
        return content;
    }"
org.apache.commons.vfs2.FileInfo,getParent(),,,"public FileInfo getParent() {
        return parent;
    }"
org.apache.commons.vfs2.FileInfo,getType(),"/**
     * Returns the {@link FileType} of the file
     *
     * @return {@link FileType}
     */",,"public FileType getType() {
        return type;
    }"
org.apache.commons.vfs2.ProviderRandomReadWriteTests,createScratchFolder(),"/**
     * Sets up a scratch folder for the test to use.
     */",,"protected FileObject createScratchFolder() throws Exception {
        final FileObject scratchFolder = getWriteFolder();

        // Make sure the test folder is empty
        scratchFolder.delete(Selectors.EXCLUDE_SELF);
        scratchFolder.createFolder();

        return scratchFolder;
    }"
org.apache.commons.vfs2.ProviderRandomReadWriteTests,getRequiredCapabilities(),"/**
     * Returns the capabilities required by the tests of this test case.
     */",,"@Override
    protected Capability[] getRequiredCapabilities() {
        return new Capability[] { Capability.GET_TYPE, Capability.CREATE, Capability.RANDOM_ACCESS_READ,
                Capability.RANDOM_ACCESS_WRITE };
    }"
org.apache.commons.vfs2.ProviderRandomReadWriteTests,void testRandomWrite(),"/**
     * Writes a file
     */",,"@Test
    public void testRandomWrite() throws Exception {
        try (FileObject file = createScratchFolder().resolveFile(""random_write.txt"")) {
            file.createFile();
            final RandomAccessContent ra = file.getContent().getRandomAccessContent(RandomAccessMode.READWRITE);

            // write first byte
            ra.writeByte(TEST_DATA.charAt(0));

            // start at pos 4
            ra.seek(3);
            ra.writeByte(TEST_DATA.charAt(3));
            ra.writeByte(TEST_DATA.charAt(4));

            // restart at pos 4 (but overwrite with different content)
            ra.seek(3);
            ra.writeByte(TEST_DATA.charAt(7));
            ra.writeByte(TEST_DATA.charAt(8));

            // advance to pos 11
            ra.seek(10);
            ra.writeByte(TEST_DATA.charAt(10));
            ra.writeByte(TEST_DATA.charAt(11));

            // now read
            ra.seek(0);
            assertEquals(ra.readByte(), TEST_DATA.charAt(0));

            ra.seek(3);
            assertEquals(ra.readByte(), TEST_DATA.charAt(7));
            assertEquals(ra.readByte(), TEST_DATA.charAt(8));

            ra.seek(10);
            assertEquals(ra.readByte(), TEST_DATA.charAt(10));
            assertEquals(ra.readByte(), TEST_DATA.charAt(11));
        }
    }"
org.apache.commons.vfs2.UriTests,getRequiredCapabilities(),"/**
     * Returns the capabilities required by the tests of this test case. The tests are not run if the provider being
     * tested does not support all the required capabilities. Return null or an empty array to always run the tests.
     */",,"@Override
    protected Capability[] getRequiredCapabilities() {
        return new Capability[] {Capability.URI};
    }"
org.apache.commons.vfs2.UriTests,void testAbsoluteURI(),"/**
     * Tests resolution of absolute URI.
     */",,"@Test
    public void testAbsoluteURI() throws Exception {
        final FileObject readFolder = getReadFolder();

        // Try fetching base folder again by its URI
        final String uri = readFolder.getName().getURI();
        FileObject file = getManager().resolveFile(uri, readFolder.getFileSystem().getFileSystemOptions());
        assertSame(""file object"", readFolder, file);

        // Try fetching the filesystem root by its URI
        final String rootUri = readFolder.getName().getRootURI();
        file = getManager().resolveFile(rootUri, readFolder.getFileSystem().getFileSystemOptions());
        assertSame(readFolder.getFileSystem().getRoot(), file);
        assertEquals(rootUri, file.getName().getRootURI());
        assertEquals(rootUri, file.getName().getURI());
        assertEquals(FileName.ROOT_PATH, file.getName().getPath());
    }"
org.apache.commons.vfs2.UriTests,void testGetURI(),,,"@Test
    public void testGetURI() throws Exception {
        final FileObject fileObject = getReadFolder().resolveFile(""some-dir/"");
        final URI uri = fileObject.getURI();

        // FileName#getURI() returns a String, not a URI.
        assertEquals(fileObject.getName().getURI(), uri.toString());
        assertEquals(URI.create(fileObject.getName().getURI()), uri);

        assertEquals(fileObject.getURL().toString(), fileObject.getURI().toString());
        assertEquals(fileObject.getURL().toURI(), fileObject.getURI());
    }"
