id,reason,code_col
geom_65_1,ok_parsed_at_least_one,test_prefix
geom_65_2,ok_parsed_at_least_one,test_prefix
geom_65_3,ok_parsed_at_least_one,test_prefix
geom_left_11_1,ok_parsed_at_least_one,test_prefix
geom_left_11_2,ok_parsed_at_least_one,test_prefix
geom_left_22_1,ok_parsed_at_least_one,test_prefix
geom_left_25_1,ok_parsed_at_least_one,test_prefix
geom_left_25_2,ok_parsed_at_least_one,test_prefix
geom_left_25_3,ok_parsed_at_least_one,test_prefix
geom_left_25_4,ok_parsed_at_least_one,test_prefix
geom_left_63_1,ok_parsed_at_least_one,test_prefix
geom_left_64_1,ok_parsed_at_least_one,test_prefix
geom_left_68_1,ok_parsed_at_least_one,test_prefix
geom_left_68_2,ok_parsed_at_least_one,test_prefix
geom_left_68_3,ok_parsed_at_least_one,test_prefix
geom_left_80_1,ok_parsed_at_least_one,test_prefix
geom_left_80_2,ok_parsed_at_least_one,test_prefix
geom_left_80_3,ok_parsed_at_least_one,test_prefix
geom_left_80_4,ok_parsed_at_least_one,test_prefix
geom_left_86_1,ok_parsed_at_least_one,test_prefix
geom_left_91_1,ok_parsed_at_least_one,test_prefix
geom_left_100_1,ok_parsed_at_least_one,test_prefix
geom_left_101_1,ok_parsed_at_least_one,test_prefix
geom_left_102_1,ok_parsed_at_least_one,test_prefix
geom_left_103_1,ok_parsed_at_least_one,test_prefix
geom_left_117_1,ok_parsed_at_least_one,test_prefix
geom_left_122_1,ok_parsed_at_least_one,test_prefix
geom_left_134_1,ok_parsed_at_least_one,test_prefix
geom_left_135_1,ok_parsed_at_least_one,test_prefix
geom_left_135_2,ok_parsed_at_least_one,test_prefix
geom_left_136_1,ok_parsed_at_least_one,test_prefix
geom_left_136_2,ok_parsed_at_least_one,test_prefix
geom_left_137_1,ok_parsed_at_least_one,test_prefix
geom_left_145_1,ok_parsed_at_least_one,test_prefix
geom_left_157_1,ok_parsed_at_least_one,test_prefix
geom_left_161_1,ok_parsed_at_least_one,test_prefix
geom_left_163_1,ok_parsed_at_least_one,test_prefix
geom_left_167_1,ok_parsed_at_least_one,test_prefix
geom_left_167_2,ok_parsed_at_least_one,test_prefix
geom_left_169_1,ok_parsed_at_least_one,test_prefix
geom_left_169_2,ok_parsed_at_least_one,test_prefix
geom_left_171_1,ok_parsed_at_least_one,test_prefix
geom_left_172_1,ok_parsed_at_least_one,test_prefix
geom_left_172_2,ok_parsed_at_least_one,test_prefix
geom_left_172_3,ok_parsed_at_least_one,test_prefix
geom_left_172_4,ok_parsed_at_least_one,test_prefix
geom_left_173_1,ok_parsed_at_least_one,test_prefix
geom_left_173_2,ok_parsed_at_least_one,test_prefix
geom_left_173_3,ok_parsed_at_least_one,test_prefix
geom_left_173_4,ok_parsed_at_least_one,test_prefix
geom_left_174_1,ok_parsed_at_least_one,test_prefix
geom_left_174_2,ok_parsed_at_least_one,test_prefix
geom_left_174_3,ok_parsed_at_least_one,test_prefix
geom_left_174_4,ok_parsed_at_least_one,test_prefix
geom_left_197_1,ok_parsed_at_least_one,test_prefix
geom_left_197_2,ok_parsed_at_least_one,test_prefix
geom_left_204_1,ok_parsed_at_least_one,test_prefix
geom_left_205_1,ok_parsed_at_least_one,test_prefix
geom_left_206_1,ok_parsed_at_least_one,test_prefix
geom_left_207_1,ok_parsed_at_least_one,test_prefix
geom_left_211_1,ok_parsed_at_least_one,test_prefix
geom_left_211_2,ok_parsed_at_least_one,test_prefix
geom_left_211_3,ok_parsed_at_least_one,test_prefix
geom_left_212_1,ok_parsed_at_least_one,test_prefix
geom_left_212_2,ok_parsed_at_least_one,test_prefix
geom_left_212_3,ok_parsed_at_least_one,test_prefix
geom_left_214_1,ok_parsed_at_least_one,test_prefix
geom_left_217_1,ok_parsed_at_least_one,test_prefix
geom_left_217_2,ok_parsed_at_least_one,test_prefix
geom_left_219_1,ok_parsed_at_least_one,test_prefix
geom_left_222_1,ok_parsed_at_least_one,test_prefix
geom_left_236_1,ok_parsed_at_least_one,test_prefix
geom_left_236_2,ok_parsed_at_least_one,test_prefix
geom_left_236_3,ok_parsed_at_least_one,test_prefix
geom_left_241_4,ok_parsed_at_least_one,test_prefix
geom_left_241_5,ok_parsed_at_least_one,test_prefix
geom_left_241_6,ok_parsed_at_least_one,test_prefix
geom_left_241_7,ok_parsed_at_least_one,test_prefix
geom_left_251_1,ok_parsed_at_least_one,test_prefix
geom_left_251_2,ok_parsed_at_least_one,test_prefix
geom_left_251_3,ok_parsed_at_least_one,test_prefix
geom_left_254_4,ok_parsed_at_least_one,test_prefix
geom_left_254_5,ok_parsed_at_least_one,test_prefix
geom_left_254_6,ok_parsed_at_least_one,test_prefix
