project/module	tests_run	Line Coverage	tests examined	Mutation score	Generated Mutants	Mutants Killed	Test Strength
commons-numbers-arrays	253	75/75 (100%		94	70	66	94
commons-numbers-rootfinder	485	82/82 (100%	6	64	117	75	64
commons-numbers-complex	7108	681/681 (100%		84	1073	897	84
dist-archive							
commons-numbers-quaternion	2010	189/195 (97%	12	95	231	219	95
commons-numbers-examples/examples-jmh							
commons-numbers-primes	305	113/116 (97%	4	86	115	99	87
commons-numbers-angle	214	58/60 (97%		94	52	49	94
.							
commons-numbers-combinatorics	1733	212/220 (96%		84	290	244	84
commons-numbers-gamma	5758	400/438 (91%		82	887	723	82
commons-numbers-core	3308	489/494 (99%		88	703	622	88
commons-numbers-fraction	3269	556/557 (100%	19	83	655	544	83
commons-numbers-field	246	55/55 (100%		90	50	45	90
