project,mvn_time,pit_time
.,,
commons-beanutils-1.9.4,0:02:31,0:59:22
commons-configuration2-2.8.0-src,0:00:36,0:26:33
commons-lang3-3.12.0-src,0:01:44,0:13:13
commons-jexl3-3.2.1-src,0:00:17,0:10:00
commons-dbutils-1.7,0:00:12,0:00:31
commons-net-3.8.0,0:01:07,1:33:47
commons-pool2-2.11.1-src,0:06:06,0:00:04
commons-imaging-1.0-alpha3-src,0:01:13,1:02:15
commons-geometry-1.0-src,0:02:04,0:00:03
commons-geometry-1.0-src/commons-geometry-io-core,0:00:06,0:01:55
commons-geometry-1.0-src/dist-archive,0:00:02,0:00:02
commons-geometry-1.0-src/commons-geometry-euclidean,0:00:34,0:10:00
commons-geometry-1.0-src/commons-geometry-core,0:00:06,4:43:26
commons-geometry-1.0-src/commons-geometry-examples/examples-tutorials,0:00:01,0:00:01
commons-geometry-1.0-src/commons-geometry-examples/examples-jmh,0:00:01,0:00:01
commons-geometry-1.0-src/commons-geometry-spherical,0:00:11,0:00:52
commons-geometry-1.0-src/commons-geometry-io-euclidean,0:00:12,0:02:22
commons-validator-1.7,0:00:18,0:11:57
springside4,,
springside4/support/h2,0:00:01,0:00:02
springside4/modules/core,0:00:06,0:00:05
springside4/modules/metrics,0:00:11,0:03:29
springside4/modules/utils,0:00:23,0:04:49
async-http-client,0:03:57,0:00:03
async-http-client/netty-utils,0:00:04,0:00:02
async-http-client/example,0:00:02,0:00:02
async-http-client/client,0:03:32,0:00:17
async-http-client/bom,0:00:02,0:00:02
async-http-client/extras/rxjava2,0:00:10,0:00:05
async-http-client/extras/guava,0:00:05,0:00:04
async-http-client/extras/rxjava,0:00:09,0:00:05
async-http-client/extras/simple,0:00:10,0:00:05
async-http-client/extras/retrofit2,0:00:04,0:00:04
async-http-client/extras/jdeferred,0:00:06,0:00:05
async-http-client/extras/registry,0:00:07,0:00:05
async-http-client/extras/typesafeconfig,0:00:03,0:00:01
commons-collections4-4.4-src,0:00:39,2:00:00
jsoup,0:00:12,2:00:00
commons-numbers-1.0-src,,
commons-numbers-1.0-src/commons-numbers-arrays,0:00:05,0:00:03
commons-numbers-1.0-src/commons-numbers-rootfinder,0:00:04,0:00:02
commons-numbers-1.0-src/commons-numbers-complex,0:00:06,0:00:02
commons-numbers-1.0-src/dist-archive,0:00:02,0:00:03
commons-numbers-1.0-src/commons-numbers-quaternion,0:00:41,0:00:02
commons-numbers-1.0-src/commons-numbers-examples/examples-jmh,0:00:07,0:00:02
commons-numbers-1.0-src/commons-numbers-primes,0:00:04,0:00:02
commons-numbers-1.0-src/commons-numbers-angle,0:00:43,0:00:02
commons-numbers-1.0-src/commons-numbers-combinatorics,0:00:06,0:00:03
commons-numbers-1.0-src/commons-numbers-gamma,0:00:49,0:00:02
commons-numbers-1.0-src/commons-numbers-core,0:00:07,0:00:03
commons-numbers-1.0-src/commons-numbers-fraction,0:00:47,0:00:02
commons-numbers-1.0-src/commons-numbers-field,0:00:04,0:00:02
spark,0:00:30,0:00:21
JSON-java,0:00:06,0:02:33
commons-jcs3-3.1-src,,
commons-jcs3-3.1-src/commons-jcs-jcache,0:00:09,0:01:44
commons-jcs3-3.1-src/commons-jcs-tck-tests,0:00:05,0:00:02
commons-jcs3-3.1-src/commons-jcs-core,0:10:01,0:10:00
commons-jcs3-3.1-src/commons-jcs-jcache-extras,0:00:07,0:00:03
commons-jcs3-3.1-src/commons-jcs-dist,0:00:03,0:00:02
commons-jcs3-3.1-src/commons-jcs-jcache-openjpa,0:00:06,0:00:06
scribejava,0:00:15,0:00:04
scribejava/scribejava-core,0:00:05,0:00:15
commons-rng-1.4-src,0:01:48,0:00:04
commons-rng-1.4-src/commons-rng-simple,0:00:29,0:00:07
commons-rng-1.4-src/dist-archive,0:00:03,0:00:02
commons-rng-1.4-src/commons-rng-core,0:00:23,0:00:07
commons-rng-1.4-src/commons-rng-examples/examples-stress,0:00:03,0:00:02
commons-rng-1.4-src/commons-rng-examples/examples-quadrature,0:00:03,0:00:02
commons-rng-1.4-src/commons-rng-examples/examples-jmh,0:00:08,0:00:02
commons-rng-1.4-src/commons-rng-examples/examples-sampling,0:00:03,0:00:02
commons-rng-1.4-src/commons-rng-examples/examples-jpms/jpms-app,0:00:02,0:00:02
commons-rng-1.4-src/commons-rng-examples/examples-jpms/jpms-lib,0:00:03,0:00:02
commons-rng-1.4-src/commons-rng-sampling,0:00:57,0:00:10
commons-rng-1.4-src/commons-rng-client-api,0:00:04,0:00:02
commons-rng-1.4-src/docs-archive,0:00:02,0:00:02
commons-weaver-2.0-src,,
commons-weaver-2.0-src/ant,0:00:04,0:00:02
commons-weaver-2.0-src/processor,0:00:05,0:00:35
commons-weaver-2.0-src/parent,0:00:02,0:00:02
commons-weaver-2.0-src/dist,0:00:04,0:00:02
commons-weaver-2.0-src/build-tools,0:00:03,0:00:02
commons-weaver-2.0-src/modules/privilizer,,
commons-weaver-2.0-src/modules/privilizer/api,0:00:03,0:00:01
commons-weaver-2.0-src/modules/privilizer/weaver,0:00:38,0:00:03
commons-weaver-2.0-src/modules/privilizer/weaver/src/it/sample,0:00:01,0:00:02
commons-weaver-2.0-src/modules/normalizer,0:00:04,0:00:02
commons-weaver-2.0-src/maven-plugin,0:00:06,0:00:02
