project,total_rows,assertThrows_count,fail_count,assertThrows_plus_fail
JSON-java,1387,0,107,107
async-http-client,958,0,63,63
bcel,218,0,3,3
commons-beanutils,3662,0,1215,1215
commons-collections4,5633,0,591,591
commons-configuration2,4016,0,113,113
commons-dbutils,644,0,4,4
commons-geometry,6674,341,1,342
commons-imaging,657,60,45,105
commons-jcs3,817,1,12,13
commons-jexl3,1868,0,215,215
commons-lang3,19886,1335,8,1343
commons-net,782,0,73,73
commons-numbers,2172,233,25,258
commons-pool2,1186,102,24,126
commons-rng,718,150,3,153
commons-validator,2481,0,46,46
commons-vfs,1221,2,31,33
commons-weaver,264,0,4,4
http-request,920,0,24,24
joda-time,19665,0,1265,1265
jsoup,3034,10,7,17
scribejava,291,11,0,11
spark,361,0,10,10
springside4,1072,0,52,52
TOTAL,80587,2245,3941,6186
