id,test_prefix,test_name,custom_assert_name,custom_assert_method,custom_assert_file
coll_122_1,"    @Test
    public void testSingletonPatternInSerialization_1_oe() {
        final Object[] singletones = new Object[] {
                ExceptionTransformer.INSTANCE,
                NOPTransformer.INSTANCE,
                StringValueTransformer.stringValueTransformer(),
        };

        for (final Object original : singletones) {
            TestUtils.assertSameAfterSerialization(""Singleton pattern broken for "" + original.getClass(), original);
    }
    }
",TransformerUtilsTest::testSingletonPatternInSerialization_1_oe,assertSameAfterSerialization,"     * @see #assertSameAfterSerialization(Object)
     */
    public static void assertSameAfterSerialization(final String msg, final Object o) {
        try {
            // write object to byte buffer
            final ByteArrayOutputStream baos = new ByteArrayOutputStream();
            final ObjectOutputStream oos = new ObjectOutputStream(baos);
            oos.writeObject(o);
            oos.close();

            // read same object from byte buffer
            final InputStream is = new ByteArrayInputStream(baos.toByteArray());
            final ObjectInputStream ois = new ObjectInputStream(is);
            final Object object = ois.readObject();
            ois.close();

            // assert that original object and deserialized objects are the same
            assertSame(msg, o, object);
        } catch (final IOException e) {
            // should never happen
            throw new RuntimeException(e);
        } catch (final ClassNotFoundException e) {
            // should never happen
            throw new RuntimeException(e);
        }
    }
",src/test/java/org/apache/commons/collections4/TestUtils.java
coll_207_1,"    @Test
    public void testSingletonPatternInSerialization_1_oe() {
        final Object[] singletones = new Object[] {
                ExceptionClosure.INSTANCE,
                NOPClosure.INSTANCE,
        };

        for (final Object original : singletones) {
            TestUtils.assertSameAfterSerialization( ""Singletone patern broken for "" + original.getClass(), original );
    }
    }
",ClosureUtilsTest::testSingletonPatternInSerialization_1_oe,assertSameAfterSerialization,"     * @see #assertSameAfterSerialization(Object)
     */
    public static void assertSameAfterSerialization(final String msg, final Object o) {
        try {
            // write object to byte buffer
            final ByteArrayOutputStream baos = new ByteArrayOutputStream();
            final ObjectOutputStream oos = new ObjectOutputStream(baos);
            oos.writeObject(o);
            oos.close();

            // read same object from byte buffer
            final InputStream is = new ByteArrayInputStream(baos.toByteArray());
            final ObjectInputStream ois = new ObjectInputStream(is);
            final Object object = ois.readObject();
            ois.close();

            // assert that original object and deserialized objects are the same
            assertSame(msg, o, object);
        } catch (final IOException e) {
            // should never happen
            throw new RuntimeException(e);
        } catch (final ClassNotFoundException e) {
            // should never happen
            throw new RuntimeException(e);
        }
    }
",src/test/java/org/apache/commons/collections4/TestUtils.java
coll_220_1,"    @Test
    public void testSingletonPatternInSerialization_1_oe() {
        final Object[] singletones = new Object[] {
                ExceptionFactory.INSTANCE,
        };

        for (final Object original : singletones) {
            TestUtils.assertSameAfterSerialization( ""Singletone patern broken for "" + original.getClass(), original );
    }
    }
",FactoryUtilsTest::testSingletonPatternInSerialization_1_oe,assertSameAfterSerialization,"     * @see #assertSameAfterSerialization(Object)
     */
    public static void assertSameAfterSerialization(final String msg, final Object o) {
        try {
            // write object to byte buffer
            final ByteArrayOutputStream baos = new ByteArrayOutputStream();
            final ObjectOutputStream oos = new ObjectOutputStream(baos);
            oos.writeObject(o);
            oos.close();

            // read same object from byte buffer
            final InputStream is = new ByteArrayInputStream(baos.toByteArray());
            final ObjectInputStream ois = new ObjectInputStream(is);
            final Object object = ois.readObject();
            ois.close();

            // assert that original object and deserialized objects are the same
            assertSame(msg, o, object);
        } catch (final IOException e) {
            // should never happen
            throw new RuntimeException(e);
        } catch (final ClassNotFoundException e) {
            // should never happen
            throw new RuntimeException(e);
        }
    }
",src/test/java/org/apache/commons/collections4/TestUtils.java
coll_251_1,"    @Test
    public void testSingletonPatternInSerialization_1_oe() {
        final Object[] singletones = new Object[] {
                ExceptionPredicate.INSTANCE,
                FalsePredicate.INSTANCE,
                NotNullPredicate.INSTANCE,
                NullPredicate.INSTANCE,
                TruePredicate.INSTANCE
        };

        for (final Object original : singletones) {
            TestUtils.assertSameAfterSerialization( ""Singletone patern broken for "" + original.getClass(), original );
    }
    }
",PredicateUtilsTest::testSingletonPatternInSerialization_1_oe,assertSameAfterSerialization,"     * @see #assertSameAfterSerialization(Object)
     */
    public static void assertSameAfterSerialization(final String msg, final Object o) {
        try {
            // write object to byte buffer
            final ByteArrayOutputStream baos = new ByteArrayOutputStream();
            final ObjectOutputStream oos = new ObjectOutputStream(baos);
            oos.writeObject(o);
            oos.close();

            // read same object from byte buffer
            final InputStream is = new ByteArrayInputStream(baos.toByteArray());
            final ObjectInputStream ois = new ObjectInputStream(is);
            final Object object = ois.readObject();
            ois.close();

            // assert that original object and deserialized objects are the same
            assertSame(msg, o, object);
        } catch (final IOException e) {
            // should never happen
            throw new RuntimeException(e);
        } catch (final ClassNotFoundException e) {
            // should never happen
            throw new RuntimeException(e);
        }
    }
",src/test/java/org/apache/commons/collections4/TestUtils.java
coll_315_2,"    @Test
    public void collect_2_oe() {
        final Transformer<Number, Long> transformer = TransformerUtils.constantTransformer(2L);
        Collection<Number> collection = CollectionUtils.<Integer, Number>collect(iterableA, transformer);
        // removed other assertion
        assertCollectResult(collection);
    }
",CollectionUtilsTest::collect_2_oe,assertCollectResult,"    private void assertCollectResult(final Collection<Number> collection) {
        assertTrue(collectionA.contains(1) && !collectionA.contains(2L));
        assertTrue(collection.contains(2L) && !collection.contains(1));
    }
",src/test/java/org/apache/commons/collections4/CollectionUtilsTest.java
coll_315_4,"    @Test
    public void collect_4_oe() {
        final Transformer<Number, Long> transformer = TransformerUtils.constantTransformer(2L);
        Collection<Number> collection = CollectionUtils.<Integer, Number>collect(iterableA, transformer);
        // removed other assertion
        // removed other assertion

        ArrayList<Number> list;
        list = CollectionUtils.collect(collectionA, transformer, new ArrayList<Number>());
        // removed other assertion
        assertCollectResult(list);
    }
",CollectionUtilsTest::collect_4_oe,assertCollectResult,"    private void assertCollectResult(final Collection<Number> collection) {
        assertTrue(collectionA.contains(1) && !collectionA.contains(2L));
        assertTrue(collection.contains(2L) && !collection.contains(1));
    }
",src/test/java/org/apache/commons/collections4/CollectionUtilsTest.java
coll_315_6,"    @Test
    public void collect_6_oe() {
        final Transformer<Number, Long> transformer = TransformerUtils.constantTransformer(2L);
        Collection<Number> collection = CollectionUtils.<Integer, Number>collect(iterableA, transformer);
        // removed other assertion
        // removed other assertion

        ArrayList<Number> list;
        list = CollectionUtils.collect(collectionA, transformer, new ArrayList<Number>());
        // removed other assertion
        // removed other assertion

        Iterator<Integer> iterator = null;
        list = CollectionUtils.collect(iterator, transformer, new ArrayList<Number>());

        iterator = iterableA.iterator();
        list = CollectionUtils.collect(iterator, transformer, list);
        // removed other assertion
        assertCollectResult(collection);
    }
",CollectionUtilsTest::collect_6_oe,assertCollectResult,"    private void assertCollectResult(final Collection<Number> collection) {
        assertTrue(collectionA.contains(1) && !collectionA.contains(2L));
        assertTrue(collection.contains(2L) && !collection.contains(1));
    }
",src/test/java/org/apache/commons/collections4/CollectionUtilsTest.java
coll_766_1,"    @Test
    public void testLoadClassLoaderResource_1_oe() throws Exception {
        assertContents(factory.load(ClassLoader.getSystemClassLoader(), ""properties/test.properties""));
    }
",AbstractPropertiesFactoryTest::testLoadClassLoaderResource_1_oe,assertContents,"    private void assertContents(final T properties) {
        Assert.assertEquals(""value1"", properties.getProperty(""key1""));
        Assert.assertEquals(""value2"", properties.getProperty(""key2""));
    }
",src/test/java/org/apache/commons/collections4/properties/AbstractPropertiesFactoryTest.java
coll_767_1,"    @Test
    public void testLoadFile_1_oe() throws Exception {
        assertContents(factory.load(Paths.get(PATH_STRING).toFile()));
    }
",AbstractPropertiesFactoryTest::testLoadFile_1_oe,assertContents,"    private void assertContents(final T properties) {
        Assert.assertEquals(""value1"", properties.getProperty(""key1""));
        Assert.assertEquals(""value2"", properties.getProperty(""key2""));
    }
",src/test/java/org/apache/commons/collections4/properties/AbstractPropertiesFactoryTest.java
coll_768_1,"    @Test
    public void testLoadFileName_1_oe() throws Exception {
        assertContents(factory.load(PATH_STRING));
    }
",AbstractPropertiesFactoryTest::testLoadFileName_1_oe,assertContents,"    private void assertContents(final T properties) {
        Assert.assertEquals(""value1"", properties.getProperty(""key1""));
        Assert.assertEquals(""value2"", properties.getProperty(""key2""));
    }
",src/test/java/org/apache/commons/collections4/properties/AbstractPropertiesFactoryTest.java
