classname,method,docstring,method_definition
com.github.scribejava.httpclient.ning.NingHttpClientConfig,getNingAsyncHttpProviderClassName(),,"public String getNingAsyncHttpProviderClassName() {
        return ningAsyncHttpProviderClassName;
    }"
com.github.scribejava.httpclient.ning.NingHttpClientConfig,void setNingAsyncHttpProviderClassName(String ningAsyncHttpProviderClassName),,"public void setNingAsyncHttpProviderClassName(String ningAsyncHttpProviderClassName) {
        this.ningAsyncHttpProviderClassName = ningAsyncHttpProviderClassName;
    }"
com.github.scribejava.httpclient.ning.NingHttpClientConfig,withNingAsyncHttpProviderClassName(String ningAsyncHttpProviderClassName),,"public NingHttpClientConfig withNingAsyncHttpProviderClassName(String ningAsyncHttpProviderClassName) {
        this.ningAsyncHttpProviderClassName = ningAsyncHttpProviderClassName;
        return this;
    }"
com.github.scribejava.httpclient.ning.NingHttpClientConfig,getConfig(),,"public AsyncHttpClientConfig getConfig() {
        return config;
    }"
com.github.scribejava.httpclient.ning.NingHttpClientConfig,createDefaultConfig(),,"@Override
    public NingHttpClientConfig createDefaultConfig() {
        return defaultConfig();
    }"
com.github.scribejava.httpclient.ning.NingHttpClientConfig,defaultConfig(),,"public static NingHttpClientConfig defaultConfig() {
        return new NingHttpClientConfig(null);
    }"
com.github.scribejava.httpclient.ning.NingHttpClient,void close(),,"@Override
    public void close() {
        client.close();
    }"
com.github.scribejava.httpclient.ning.NingHttpClient,"executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            final byte[] bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter)",,"@Override
    public <T> Future<T> executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            final byte[] bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter) {

        return doExecuteAsync(userAgent, headers, httpVerb, completeUrl, BodySetter.BYTE_ARRAY, bodyContents, callback,
                converter);
    }"
com.github.scribejava.httpclient.ning.NingHttpClient,"executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            MultipartPayload bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter)",,"@Override
    public <T> Future<T> executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            MultipartPayload bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter) {

        throw new UnsupportedOperationException(""NingHttpClient does not support MultipartPayload yet."");
    }"
com.github.scribejava.httpclient.ning.NingHttpClient,"executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            final String bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter)",,"@Override
    public <T> Future<T> executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            final String bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter) {

        return doExecuteAsync(userAgent, headers, httpVerb, completeUrl, BodySetter.STRING, bodyContents, callback,
                converter);
    }"
com.github.scribejava.httpclient.ning.NingHttpClient,"executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            final File bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter)",,"@Override
    public <T> Future<T> executeAsync(String userAgent, Map<String, String> headers, Verb httpVerb, String completeUrl,
            final File bodyContents, OAuthAsyncRequestCallback<T> callback,
            OAuthRequest.ResponseConverter<T> converter) {

        return doExecuteAsync(userAgent, headers, httpVerb, completeUrl, BodySetter.FILE, bodyContents, callback,
                converter);
    }"
