classname,method,docstring,annotations,method_definition
org.apache.commons.imaging.TestImageReadException,void testCreateExceptionWithMessage(),,,"@Test
    public void testCreateExceptionWithMessage() {
        final ImageReadException exception = new ImageReadException(""imaging"");
        assertEquals(""imaging"", exception.getMessage());
        assertNull(exception.getCause());
    }"
org.apache.commons.imaging.TestImageReadException,void testCreateExceptionWithMessageAndCause(),,,"@Test
    public void testCreateExceptionWithMessageAndCause() {
        final ImageReadException exception = new ImageReadException(""imaging"", new Exception(""cause""));
        assertEquals(""imaging"", exception.getMessage());
        assertNotNull(exception.getCause());
    }"
org.apache.commons.imaging.ImagingTest,isPhilHarveyTestImage(final File file),,,"protected boolean isPhilHarveyTestImage(final File file) {
        return file.getAbsolutePath().startsWith(
                ImagingTestConstants.PHIL_HARVEY_TEST_IMAGE_FOLDER.getAbsolutePath());
    }"
org.apache.commons.imaging.ImagingTest.ImageFilter,accept(File file),,,"boolean accept(File file) throws IOException, ImageReadException;"
org.apache.commons.imaging.ImagingTest,getTestImage(),,,"protected File getTestImage() throws IOException, ImageReadException {
        return getTestImage(null);
    }"
org.apache.commons.imaging.ImagingTest,getTestImageByName(final String fileName),,,"protected File getTestImageByName(final String fileName)
            throws IOException, ImageReadException {
        return getTestImage(file -> file.getName().equals(fileName));
    }"
org.apache.commons.imaging.ImagingTest,getTestImage(final ImageFilter filter),,,"protected File getTestImage(final ImageFilter filter) throws IOException,
            ImageReadException {
        final List<File> images = getTestImages(filter, 1);

        assertFalse(images.isEmpty());

        return images.get(0);
    }"
org.apache.commons.imaging.ImagingTest,getTestImages(),,,"protected static List<File> getTestImages() throws IOException, ImageReadException {
        return getTestImages(null, -1);
    }"
org.apache.commons.imaging.ImagingTest,getTestImages(final ImageFilter filter),,,"protected static List<File> getTestImages(final ImageFilter filter) throws IOException,
            ImageReadException {
        return getTestImages(filter, -1);
    }"
org.apache.commons.imaging.ImagingTest,"getTestImages(final ImageFilter filter, final int max)",,,"protected static List<File> getTestImages(final ImageFilter filter, final int max)
            throws IOException, ImageReadException {
        final List<File> images = new ArrayList<>();

        for (final File file : ALL_IMAGES) {
            if (!Imaging.hasImageFileExtension(file)) {
                continue;
            }

            if (file.getParentFile().getName().toLowerCase().equals(""@broken"")) {
                continue;
            }

            if (filter != null && !filter.accept(file)) {
                continue;
            }

            images.add(file);

            if (max > 0 && images.size() >= max) {
                break;
            }
        }

        assertFalse(images.isEmpty());

        return images;
    }"
org.apache.commons.imaging.ImagingTest,isInvalidPNGTestFile(final File file),,,"protected boolean isInvalidPNGTestFile(final File file) {
        return (file.getParentFile().getName().equalsIgnoreCase(""pngsuite"") &&
                file.getName().toLowerCase().startsWith(""x""));
    }"
org.apache.commons.imaging.TestImageInfo,void testColorType(),,,"@Test
    public void testColorType() {
        // ColorType is an enum within ImageInfo. We don't want to test every value
        // of the enum. Just that one has the right values should be enough.
        assertEquals(""RGB"", ColorType.RGB.toString());
        assertEquals(ColorType.RGB, ColorType.valueOf(""RGB""));
    }"
org.apache.commons.imaging.TestImageInfo,void testCompressionAlgorithm(),,,"@Test
    public void testCompressionAlgorithm() {
        assertEquals(""LZW"", CompressionAlgorithm.LZW.toString());
        assertEquals(CompressionAlgorithm.LZW, CompressionAlgorithm.valueOf(""LZW""));
    }"
org.apache.commons.imaging.TestImageInfo,void testImageInfo(),,,"@Test
    public void testImageInfo() {
        final String formatDetails = ""image-info-format-details"";
        final int bitsPerPixel = 2;
        final List<String> comments = Arrays.asList(""a"", ""b"", ""c"");
        final ImageFormat format = ImageFormats.BMP;
        final String formatName = format.getName();
        final int height = 2;
        final String mimeType = ""image-info-mimetype"";
        final int numberOfImages = 2;
        final int physicalHeightDpi = 2;
        final float physicalHeightInch = 2.0f;
        final int physicalWidthDpi = 2;
        final float physicalWidthInch = 2.0f;
        final int width = 2;
        final boolean progressive = true;
        final boolean transparent = true;
        final boolean usesPalette = true;
        final ColorType colorType = ColorType.GRAYSCALE;
        final CompressionAlgorithm compressionAlgorithm = CompressionAlgorithm.JPEG;

        final ImageInfo imageInfo = new ImageInfo(formatDetails, bitsPerPixel, comments, format, formatName, height,
                mimeType, numberOfImages, physicalHeightDpi, physicalHeightInch, physicalWidthDpi, physicalWidthInch,
                width, progressive, transparent, usesPalette, colorType, compressionAlgorithm);
        assertEquals(formatDetails, imageInfo.getFormatDetails());
        assertEquals(bitsPerPixel, imageInfo.getBitsPerPixel());
        assertEquals(comments.toString(),imageInfo.getComments().toString());
        assertEquals(format, imageInfo.getFormat());
        assertEquals(formatName, imageInfo.getFormatName());
        assertEquals(height, imageInfo.getHeight());
        assertEquals(mimeType, imageInfo.getMimeType());
        assertEquals(numberOfImages, imageInfo.getNumberOfImages());
        assertEquals(physicalHeightDpi, imageInfo.getPhysicalHeightDpi());
        assertEquals(physicalHeightInch, imageInfo.getPhysicalHeightInch());
        assertEquals(physicalWidthDpi, imageInfo.getPhysicalWidthDpi());
        assertEquals(physicalWidthInch, imageInfo.getPhysicalWidthInch());
        assertEquals(width, imageInfo.getWidth());
        assertEquals(progressive, imageInfo.isProgressive());
        assertEquals(transparent, imageInfo.isTransparent());
        assertEquals(usesPalette, imageInfo.usesPalette());
        assertEquals(colorType, imageInfo.getColorType());
        assertEquals(compressionAlgorithm, imageInfo.getCompressionAlgorithm());
    }"
org.apache.commons.imaging.TestImageInfo,void testToStringErrorWhenCommentsIsNull(),,,"@Test
    public void testToStringErrorWhenCommentsIsNull() {
        final ImageInfo imageInfo = new ImageInfo(null, 0, null, null, null, 0, null, 0, 0, 0.0f, 0, 0.0f, 0, false,
                false, false, null, null);
        assertEquals(""Image Data: Error"", imageInfo.toString());
    }"
org.apache.commons.imaging.TestImageInfo,void testToStringErrorWhenColorPaletteIsNull(),,,"@Test
    public void testToStringErrorWhenColorPaletteIsNull() {
        final ImageInfo imageInfo = new ImageInfo(null, 0, new ArrayList<>(), ImageFormats.DCX, null, 0, null, 0, 0, 0.0f, 0, 0.0f, 0, false,
                false, false, null, null);
        assertEquals(""Image Data: Error"", imageInfo.toString());
    }"
org.apache.commons.imaging.TestImageInfo,void testToStringErrorWhenFormatIsNull(),,,"@Test
    public void testToStringErrorWhenFormatIsNull() {
        final ImageInfo imageInfo = new ImageInfo(null, 0, new ArrayList<>(), null, null, 0, null, 0, 0, 0.0f, 0, 0.0f, 0, false,
                false, false, ColorType.BW, null);
        assertEquals(""Image Data: Error"", imageInfo.toString());
    }"
org.apache.commons.imaging.TestImageInfo,void testToStringEmptyComments(),,,"@Test
    public void testToStringEmptyComments() {
        final ImageInfo imageInfo = new ImageInfo(null, 0, new ArrayList<String>(), ImageFormats.DCX, null, 0, null, 0, 0, 0.0f, 0, 0.0f, 0, false,
                false, false, ColorType.BW, null);
        final String expected = ""Format Details: null\n"" +
                ""Bits Per Pixel: 0\n"" +
                ""Comments: 0\n"" +
                ""Format: DCX\n"" +
                ""Format Name: null\n"" +
                ""Compression Algorithm: null\n"" +
                ""Height: 0\n"" +
                ""MimeType: null\n"" +
                ""Number Of Images: 0\n"" +
                ""Physical Height Dpi: 0\n"" +
                ""Physical Height Inch: 0.0\n"" +
                ""Physical Width Dpi: 0\n"" +
                ""Physical Width Inch: 0.0\n"" +
                ""Width: 0\n"" +
                ""Is Progressive: false\n"" +
                ""Is Transparent: false\n"" +
                ""Color Type: Black and White\n"" +
                ""Uses Palette: false\n"";
        final String testString = imageInfo.toString().replaceAll(""\\r"", """");
        assertEquals(expected, testString);
    }"
org.apache.commons.imaging.TestImageInfo,void testToStringWithComments(),,,"@Test
    public void testToStringWithComments() {
        final ImageInfo imageInfo = new ImageInfo(null, 0, Arrays.asList(""a"", ""b""), ImageFormats.DCX, null, 0, null, 0, 0, 0.0f, 0, 0.0f, 0, false,
                false, false, ColorType.BW, null);
        final String expected = ""Format Details: null\n"" +
                ""Bits Per Pixel: 0\n"" +
                ""Comments: 2\n"" +
                ""\t0: 'a'\n"" +
                ""\t1: 'b'\n"" +
                ""Format: DCX\n"" +
                ""Format Name: null\n"" +
                ""Compression Algorithm: null\n"" +
                ""Height: 0\n"" +
                ""MimeType: null\n"" +
                ""Number Of Images: 0\n"" +
                ""Physical Height Dpi: 0\n"" +
                ""Physical Height Inch: 0.0\n"" +
                ""Physical Width Dpi: 0\n"" +
                ""Physical Width Inch: 0.0\n"" +
                ""Width: 0\n"" +
                ""Is Progressive: false\n"" +
                ""Is Transparent: false\n"" +
                ""Color Type: Black and White\n"" +
                ""Uses Palette: false\n"";
        final String testString = imageInfo.toString().replaceAll(""\\r"", """");
        assertEquals(expected, testString);
    }"
org.apache.commons.imaging.TestImageWriteException,data(),,,"public static Stream<Object[]> data() {
        final ImageWriteException exception = new ImageWriteException(null);
        return Stream.of(
                new Object[] {null, ""null""},
                new Object[] {new Object[] {Integer.valueOf(1)}, ""[Object[]: 1]""},
                new Object[] {new char[] {'a', 'b', 'c'}, ""[char[]: 3]""},
                new Object[] {new byte[] {0, 1}, ""[byte[]: 2]""},
                new Object[] {new short[] {0}, ""[short[]: 1]""},
                new Object[] {new int[] {-1, -2, 4, 100}, ""[int[]: 4]""},
                new Object[] {new long[] {-1, -2, 4, 100}, ""[long[]: 4]""},
                new Object[] {new float[] {-1.0f, 2.0f}, ""[float[]: 2]""},
                new Object[] {new double[] {-1.0d, 2.0d}, ""[double[]: 2]""},
                new Object[] {new boolean[] {true, false, true}, ""[boolean[]: 3]""},
                new Object[] {exception, exception.getClass().getName()}
                );
    }"
org.apache.commons.imaging.TestImageWriteException,void testCreateExceptionWithMessage(),,,"@Test
    public void testCreateExceptionWithMessage() {
        final ImageWriteException exception = new ImageWriteException(""imaging"");
        assertEquals(""imaging"", exception.getMessage());
        assertNull(exception.getCause());
    }"
org.apache.commons.imaging.TestImageWriteException,void testCreateExceptionWithMessageAndCause(),,,"@Test
    public void testCreateExceptionWithMessageAndCause() {
        final ImageWriteException exception = new ImageWriteException(""imaging"", new Exception(""cause""));
        assertEquals(""imaging"", exception.getMessage());
        assertNotNull(exception.getCause());
    }"
org.apache.commons.imaging.TestImageWriteException,"void testCreateExceptionWithData(final Object data, final String expectedType)",,"@MethodSource(""data"")","@ParameterizedTest
    @MethodSource(""data"")
    public void testCreateExceptionWithData(final Object data, final String expectedType) {
        final ImageWriteException exception = new ImageWriteException(""imaging"", data);
        assertEquals(String.format(""imaging: %s (%s)"", data, expectedType), exception.getMessage());
    }"
org.apache.commons.imaging.ImageDumpTest,void testDumpColorSpace(),,,"@Test
    public void testDumpColorSpace() {
        final ImageDump imageDump = new ImageDump();
        final ColorSpace colorSpace = ColorSpace.getInstance(1004);
        imageDump.dumpColorSpace(""Ku&]N>!4'C#Jzn+"", colorSpace);

        assertEquals(3, colorSpace.getNumComponents());
    }"
org.apache.commons.imaging.ImageDumpTest,void testDump(),,,"@Test
    public void testDump() {
        final ImageDump imageDump = new ImageDump();
        final BufferedImage bufferedImage = new BufferedImage(10, 10, 10);
        imageDump.dump(bufferedImage);

        assertEquals(10, bufferedImage.getHeight());
    }"
org.apache.commons.imaging.ImagingGuessFormatTest,data(),,,"public static Stream<Object[]> data() {
        return Arrays.asList(
                new Object[] { ImageFormats.PNG, PNG_IMAGE_FILE },
                new Object[] { ImageFormats.GIF, GIF_IMAGE_FILE },
                new Object[] { ImageFormats.ICNS, ICNS_IMAGE_FILE },
                // TODO(cmchen): add ability to sniff ICOs if possible.
                // new Object[] { ImageFormat.IMAGE_FORMAT_ICO, ICO_IMAGE_FILE },
                new Object[] { ImageFormats.TIFF, TIFF_IMAGE_FILE },
                new Object[] { ImageFormats.JPEG, JPEG_IMAGE_FILE },
                new Object[] { ImageFormats.BMP, BMP_IMAGE_FILE },
                new Object[] { ImageFormats.PSD, PSD_IMAGE_FILE },
                new Object[] { ImageFormats.PBM, PBM_IMAGE_FILE },
                new Object[] { ImageFormats.PGM, PGM_IMAGE_FILE },
                new Object[] { ImageFormats.PPM, PPM_IMAGE_FILE },
                // TODO(cmchen): add ability to sniff TGAs if possible.
                // new Object[] { ImageFormat.IMAGE_FORMAT_TGA, TGA_IMAGE_FILE },
                // TODO(cmchen): Add test images for these formats.
                // new Object[] { ImageFormat.IMAGE_FORMAT_PNM, PNM_IMAGE_FILE },
                // new Object[] { ImageFormat.IMAGE_FORMAT_JBIG2, JBIG2_IMAGE_FILE },
                new Object[] { ImageFormats.UNKNOWN, UNKNOWN_IMAGE_FILE }
        ).stream();
    }"
