classname,method,docstring,method_definition
org.apache.commons.imaging.ImageWriteException,getType(final Object value),,"private static String getType(final Object value) {
        if (value == null) {
            return ""null"";
        }
        if (value instanceof Object[]) {
            return ""[Object[]: "" + ((Object[]) value).length + ""]"";
        }
        if (value instanceof char[]) {
            return ""[char[]: "" + ((char[]) value).length + ""]"";
        }
        if (value instanceof byte[]) {
            return ""[byte[]: "" + ((byte[]) value).length + ""]"";
        }
        if (value instanceof short[]) {
            return ""[short[]: "" + ((short[]) value).length + ""]"";
        }
        if (value instanceof int[]) {
            return ""[int[]: "" + ((int[]) value).length + ""]"";
        }
        if (value instanceof long[]) {
            return ""[long[]: "" + ((long[]) value).length + ""]"";
        }
        if (value instanceof float[]) {
            return ""[float[]: "" + ((float[]) value).length + ""]"";
        }
        if (value instanceof double[]) {
            return ""[double[]: "" + ((double[]) value).length + ""]"";
        }
        if (value instanceof boolean[]) {
            return ""[boolean[]: "" + ((boolean[]) value).length + ""]"";
        }
        return value.getClass().getName();
    }"
org.apache.commons.imaging.ImageDump,colorSpaceTypeToName(final ColorSpace cs),,"private String colorSpaceTypeToName(final ColorSpace cs) {
        // System.out.println(prefix + "": "" + ""type: ""
        // + cs.getType() );
        switch (cs.getType()) {
        case ColorSpace.TYPE_CMYK:
            return ""TYPE_CMYK"";
        case ColorSpace.TYPE_RGB:
            return ""TYPE_RGB"";

        case ColorSpace.CS_sRGB:
            return ""CS_sRGB"";
        case ColorSpace.CS_GRAY:
            return ""CS_GRAY"";
        case ColorSpace.CS_CIEXYZ:
            return ""CS_CIEXYZ"";
        case ColorSpace.CS_LINEAR_RGB:
            return ""CS_LINEAR_RGB"";
        case ColorSpace.CS_PYCC:
            return ""CS_PYCC"";
        default:
            return ""unknown"";
        }
    }"
org.apache.commons.imaging.ImageDump,"void dumpColorSpace(final String prefix, final ColorSpace cs)",,"public void dumpColorSpace(final String prefix, final ColorSpace cs) {
        LOGGER.fine(prefix + "": "" + ""type: "" + cs.getType() + "" (""
                + colorSpaceTypeToName(cs) + "")"");

        if (!(cs instanceof ICC_ColorSpace)) {
            LOGGER.fine(prefix + "": "" + ""Unknown ColorSpace: ""
                    + cs.getClass().getName());
            return;
        }

        final ICC_ColorSpace iccColorSpace = (ICC_ColorSpace) cs;
        final ICC_Profile iccProfile = iccColorSpace.getProfile();

        final byte[] bytes = iccProfile.getData();

        final IccProfileParser parser = new IccProfileParser();

        final IccProfileInfo info = parser.getICCProfileInfo(bytes);
        info.dump(prefix);
    }"
org.apache.commons.imaging.ImageDump,void dump(final BufferedImage src),,"public void dump(final BufferedImage src) {
        dump("""", src);
    }"
org.apache.commons.imaging.ImageDump,"void dump(final String prefix, final BufferedImage src)",,"public void dump(final String prefix, final BufferedImage src) {
        LOGGER.fine(prefix + "": "" + ""dump"");
        dumpColorSpace(prefix, src.getColorModel().getColorSpace());
        dumpBIProps(prefix, src);
    }"
org.apache.commons.imaging.ImageDump,"void dumpBIProps(final String prefix, final BufferedImage src)",,"public void dumpBIProps(final String prefix, final BufferedImage src) {
        final String[] keys = src.getPropertyNames();
        if (keys == null) {
            LOGGER.fine(prefix + "": no props"");
            return;
        }
        for (final String key : keys) {
            LOGGER.fine(prefix + "": "" + key + "": ""
                    + src.getProperty(key));
        }
    }"
org.apache.commons.imaging.ImageInfo.ColorType,toString(),,"@Override
        public String toString() {
            return description;
        }"
org.apache.commons.imaging.ImageInfo.CompressionAlgorithm,toString(),,"@Override
        public String toString() {
            return description;
        }"
org.apache.commons.imaging.ImageInfo,getBitsPerPixel(),"/**
     * Returns the bits per pixel of the image data.
     *
     * @return bits per pixel of the image data.
     */","public int getBitsPerPixel() {
        return bitsPerPixel;
    }"
org.apache.commons.imaging.ImageInfo,getComments(),"/**
     * Returns a list of comments from the image file.
     *
     * <p>This is mostly obsolete.</p>
     *
     * @return A list of comments.
     */","public List<String> getComments() {
        return new ArrayList<>(comments);
    }"
