project,#total,#only_assertion,#mixed
commons-jcs3,377,363,14
http-request,154,144,10
commons-geometry,2402,2276,126
commons-configuration2,1910,1858,52
springside4,175,153,22
commons-lang3,3385,2606,779
async-http-client,455,397,58
commons-vfs,383,359,24
commons-jexl3,608,493,115
spark,273,263,10
commons-pool2,315,227,88
commons-validator,314,292,22
commons-dbutils,136,132,4
bcel,113,110,3
commons-weaver,50,46,4
commons-net,252,210,42
JSON-java,288,225,63
joda-time,4077,3299,778
commons-rng,669,520,149
commons-beanutils,783,345,438
commons-numbers,610,479,131
scribejava,92,80,12
commons-imaging,313,242,71
jsoup,1000,971,29
commons-collections4,1310,930,380
TOTAL,20444,17020,3424
