project,count,min_sloc,max_sloc,avg_sloc
JSON-java,288,4,248,21.8
async-http-client,455,4,82,16.45
bcel,113,3,55,10.92
commons-beanutils,783,3,282,18.2
commons-collections4,1310,3,208,17.57
commons-configuration2,1910,3,377,9.75
commons-dbutils,136,3,35,10.67
commons-geometry,2402,5,84,15.54
commons-imaging,313,4,112,12.47
commons-jcs3,377,5,102,19.41
commons-jexl3,608,4,106,17.46
commons-lang3,3385,3,1335,13.23
commons-net,252,4,164,16.37
commons-numbers,610,4,119,14.98
commons-pool2,315,4,100,19.17
commons-rng,669,4,273,14.13
commons-validator,314,3,472,16.95
commons-vfs,383,4,65,13.32
commons-weaver,50,4,173,10.32
http-request,154,4,35,15.14
joda-time,4077,3,330,11.04
jsoup,1000,3,63,10.25
scribejava,92,5,52,13.3
spark,273,4,54,7.59
springside4,175,4,132,17.18
TOTAL,20444,3,1335,13.69
