assertion,count,JUnit3,JUnit4,JUnit5
assertAll,0,No,No,Yes
assertArrayEquals,1281,No,Yes,Yes
assertDoesNotThrow,2,No,No,Yes
assertEquals,48121,Yes,Yes,Yes
assertFalse,5652,Yes,Yes,Yes
assertIterableEquals,0,No,No,Yes
assertLinesMatch,0,No,No,Yes
assertNotEquals,504,No,No,Yes
assertNotNull,1452,Yes,Yes,Yes
assertNotSame,301,No,Yes,Yes
assertNull,2176,Yes,Yes,Yes
assertSame,2375,Yes,Yes,Yes
assertThat,982,No,Yes,No
assertThrows,102,No,No,Yes
assertTimeout,1,No,No,Yes
assertTimeoutPreemptively,0,No,No,Yes
assertTrue,10097,Yes,Yes,Yes
fail,3117,Yes,Yes,Yes
