project,count,min_sloc,max_sloc,avg_sloc
JSON-java,1171,4,154,26.12
async-http-client,702,3,73,18.22
bcel,210,3,49,12.04
commons-beanutils,2325,3,282,24.33
commons-collections4,4982,3,134,17.35
commons-configuration2,3908,3,56,10.51
commons-dbutils,571,3,35,9.79
commons-geometry,8279,2,61,14.86
commons-imaging,588,4,90,13.75
commons-jcs3,515,4,64,19.37
commons-jexl3,2098,4,105,19.7
commons-lang3,19561,4,1335,60.94
commons-net,635,3,164,24.48
commons-numbers,3326,4,105,19.63
commons-pool2,1164,4,100,21.37
commons-rng,913,4,273,23.34
commons-validator,2199,3,472,60.75
commons-vfs,770,4,65,12.62
commons-weaver,105,4,20,7.03
http-request,332,4,35,14.53
joda-time,17477,3,330,13.27
jsoup,3038,3,63,11.28
scribejava,216,4,52,18.53
spark,363,4,54,7.6
springside4,835,4,132,14.94
TOTAL,76283,3,1335,13.69
