id,reason,code_col
numb_304_22,"no_assertthrows_invocations_ast names=['assertEquals', 'of', 'signum']",test_prefix
numb_304_23,"no_assertthrows_invocations_ast names=['assertEquals', 'getNumerator', 'of']",test_prefix
numb_304_24,"no_assertthrows_invocations_ast names=['assertEquals', 'getDenominator', 'of']",test_prefix
numb_304_25,"no_assertthrows_invocations_ast names=['assertEquals', 'of', 'signum']",test_prefix
numb_304_26,"no_assertthrows_invocations_ast names=['assertEquals', 'getNumerator', 'of']",test_prefix
numb_304_27,"no_assertthrows_invocations_ast names=['assertEquals', 'getDenominator', 'of']",test_prefix
numb_305_30,"no_assertthrows_invocations_ast names=['assertEquals', 'of', 'signum']",test_prefix
numb_305_31,"no_assertthrows_invocations_ast names=['assertEquals', 'getNumerator', 'of']",test_prefix
numb_305_32,"no_assertthrows_invocations_ast names=['assertEquals', 'getDenominator', 'of']",test_prefix
numb_305_33,"no_assertthrows_invocations_ast names=['assertEquals', 'getNumerator', 'of']",test_prefix
numb_305_34,"no_assertthrows_invocations_ast names=['assertEquals', 'getDenominator', 'of']",test_prefix
numb_307_7,"no_assertthrows_invocations_ast names=['assertEquals', 'negate', 'of', 'signum']",test_prefix
numb_307_8,"no_assertthrows_invocations_ast names=['assertEquals', 'getNumerator', 'negate', 'of']",test_prefix
numb_307_9,"no_assertthrows_invocations_ast names=['assertEquals', 'getDenominator', 'negate', 'of']",test_prefix
numb_308_9,"no_assertthrows_invocations_ast names=['abs', 'assertEquals', 'of', 'signum']",test_prefix
numb_308_10,"no_assertthrows_invocations_ast names=['abs', 'assertEquals', 'getNumerator', 'of']",test_prefix
numb_308_11,"no_assertthrows_invocations_ast names=['abs', 'assertEquals', 'getDenominator', 'of']",test_prefix
