+-----------------------------+---------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name                | File Name                                         | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+-----------------------------+---------------------------------------------------+----------+----------+----------+----------+----------+----------+
| dbutils.handlers.columns    | BooleanColumnHandler.java                         | src      |        4 |        0 |       16 |       14 |       34 |
| dbutils.handlers.columns    | BooleanColumnHandler_ESTest.java                  | test     |       11 |        0 |       12 |       63 |       86 |
| dbutils.handlers.columns    | BooleanColumnHandler_ESTest_scaffolding.java      | test     |       16 |        5 |        0 |       84 |      105 |
| dbutils.handlers.columns    | ByteColumnHandler.java                            | src      |        4 |        0 |       16 |       14 |       34 |
| dbutils.handlers.columns    | ByteColumnHandler_ESTest.java                     | test     |       11 |        0 |       12 |       63 |       86 |
| dbutils.handlers.columns    | ByteColumnHandler_ESTest_scaffolding.java         | test     |       16 |        5 |        0 |       84 |      105 |
| dbutils.handlers.columns    | DoubleColumnHandler.java                          | src      |        4 |        0 |       16 |       14 |       34 |
| dbutils.handlers.columns    | DoubleColumnHandler_ESTest.java                   | test     |       11 |        0 |       12 |       63 |       86 |
| dbutils.handlers.columns    | DoubleColumnHandler_ESTest_scaffolding.java       | test     |       16 |        5 |        0 |       84 |      105 |
| dbutils.handlers.columns    | FloatColumnHandler.java                           | src      |        4 |        0 |       16 |       14 |       34 |
| dbutils.handlers.columns    | FloatColumnHandler_ESTest.java                    | test     |       11 |        0 |       12 |       63 |       86 |
| dbutils.handlers.columns    | FloatColumnHandler_ESTest_scaffolding.java        | test     |       16 |        5 |        0 |       84 |      105 |
| dbutils.handlers.columns    | IntegerColumnHandler.java                         | src      |        4 |        0 |       16 |       14 |       34 |
| dbutils.handlers.columns    | IntegerColumnHandler_ESTest.java                  | test     |       11 |        0 |       12 |       63 |       86 |
| dbutils.handlers.columns    | IntegerColumnHandler_ESTest_scaffolding.java      | test     |       16 |        5 |        0 |       84 |      105 |
| dbutils.handlers.columns    | LongColumnHandler.java                            | src      |        4 |        0 |       16 |       14 |       34 |
| dbutils.handlers.columns    | LongColumnHandler_ESTest.java                     | test     |       11 |        0 |       12 |       63 |       86 |
| dbutils.handlers.columns    | LongColumnHandler_ESTest_scaffolding.java         | test     |       16 |        5 |        0 |       84 |      105 |
| dbutils.handlers.columns    | SQLXMLColumnHandler.java                          | src      |        4 |        0 |       16 |       15 |       35 |
| dbutils.handlers.columns    | SQLXMLColumnHandler_ESTest.java                   | test     |       10 |        0 |       12 |       60 |       82 |
| dbutils.handlers.columns    | SQLXMLColumnHandler_ESTest_scaffolding.java       | test     |       16 |        5 |        0 |       85 |      106 |
| dbutils.handlers.columns    | ShortColumnHandler.java                           | src      |        4 |        0 |       16 |       14 |       34 |
| dbutils.handlers.columns    | ShortColumnHandler_ESTest.java                    | test     |       11 |        0 |       12 |       63 |       86 |
| dbutils.handlers.columns    | ShortColumnHandler_ESTest_scaffolding.java        | test     |       16 |        5 |        0 |       84 |      105 |
| dbutils.handlers.columns    | StringColumnHandler.java                          | src      |        4 |        0 |       16 |       14 |       34 |
| dbutils.handlers.columns    | StringColumnHandler_ESTest.java                   | test     |        9 |        0 |        8 |       54 |       71 |
| dbutils.handlers.columns    | StringColumnHandler_ESTest_scaffolding.java       | test     |       16 |        5 |        0 |       84 |      105 |
| dbutils.handlers.columns    | TimestampColumnHandler.java                       | src      |        4 |        0 |       16 |       15 |       35 |
| dbutils.handlers.columns    | TimestampColumnHandler_ESTest.java                | test     |        9 |        0 |        8 |       56 |       73 |
| dbutils.handlers.columns    | TimestampColumnHandler_ESTest_scaffolding.java    | test     |       16 |        5 |        0 |       84 |      105 |
+-----------------------------+---------------------------------------------------+----------+----------+----------+----------+----------+----------+
| dbutils.handlers.properties | DatePropertyHandler.java                          | src      |        6 |        0 |       16 |       38 |       60 |
| dbutils.handlers.properties | DatePropertyHandler_ESTest.java                   | test     |       14 |        0 |       16 |       86 |      116 |
| dbutils.handlers.properties | DatePropertyHandler_ESTest_scaffolding.java       | test     |       16 |        5 |        0 |       79 |      100 |
| dbutils.handlers.properties | StringEnumPropertyHandler.java                    | src      |        3 |        0 |       16 |       12 |       31 |
| dbutils.handlers.properties | StringEnumPropertyHandler_ESTest.java             | test     |       13 |        0 |       13 |       71 |       97 |
| dbutils.handlers.properties | StringEnumPropertyHandler_ESTest_scaffolding.java | test     |       16 |        5 |        0 |      188 |      209 |
+-----------------------------+---------------------------------------------------+----------+----------+----------+----------+----------+----------+
| dbutils.handlers            | AbstractKeyedHandler.java                         | src      |        9 |       41 |       16 |       21 |       87 |
| dbutils.handlers            | AbstractKeyedHandler_ESTest.java                  | test     |       12 |        0 |       15 |       93 |      120 |
| dbutils.handlers            | AbstractKeyedHandler_ESTest_scaffolding.java      | test     |       16 |        5 |        0 |      103 |      124 |
| dbutils.handlers            | AbstractListHandler.java                          | src      |        4 |       24 |       16 |       17 |       61 |
| dbutils.handlers            | AbstractListHandler_ESTest.java                   | test     |        9 |        0 |       12 |       60 |       81 |
| dbutils.handlers            | AbstractListHandler_ESTest_scaffolding.java       | test     |       16 |        5 |        0 |      105 |      126 |
| dbutils.handlers            | ArrayHandler.java                                 | src      |       10 |       38 |       16 |       22 |       86 |
| dbutils.handlers            | ArrayHandler_ESTest.java                          | test     |        9 |        0 |       12 |       65 |       86 |
| dbutils.handlers            | ArrayHandler_ESTest_scaffolding.java              | test     |       16 |        5 |        0 |       97 |      118 |
| dbutils.handlers            | ArrayListHandler.java                             | src      |        9 |       29 |       16 |       18 |       72 |
| dbutils.handlers            | ArrayListHandler_ESTest.java                      | test     |        9 |        0 |       12 |       66 |       87 |
| dbutils.handlers            | ArrayListHandler_ESTest_scaffolding.java          | test     |       16 |        5 |        0 |      101 |      122 |
| dbutils.handlers            | BeanHandler.java                                  | src      |        9 |       38 |       16 |       20 |       83 |
| dbutils.handlers            | BeanHandler_ESTest.java                           | test     |        9 |        0 |       11 |       63 |       83 |
| dbutils.handlers            | BeanHandler_ESTest_scaffolding.java               | test     |       16 |        5 |        0 |       99 |      120 |
| dbutils.handlers            | BeanListHandler.java                              | src      |        8 |       40 |       16 |       21 |       85 |
| dbutils.handlers            | BeanListHandler_ESTest.java                       | test     |        6 |        0 |        8 |       47 |       61 |
| dbutils.handlers            | BeanListHandler_ESTest_scaffolding.java           | test     |       16 |        5 |        0 |       99 |      120 |
