classname,method,docstring,annotations,method_definition
org.apache.commons.lang3.ClassLoaderUtilsTest,void testToString_ClassLoader(),,,"@Test
    public void testToString_ClassLoader() throws IOException {
        final URL url = new URL(""http://localhost"");
        try (URLClassLoader urlClassLoader = new URLClassLoader(new URL[] { url })) {
            @SuppressWarnings(""resource"")
            final ClassLoader classLoader = urlClassLoader;
            Assertions.assertEquals(String.format(""%s[%s]"", classLoader, url), ClassLoaderUtils.toString(classLoader));
        }
    }"
org.apache.commons.lang3.ClassLoaderUtilsTest,void testToString_URLClassLoader(),,,"@Test
    public void testToString_URLClassLoader() throws IOException {
        final URL url = new URL(""http://localhost"");
        try (URLClassLoader urlClassLoader = new URLClassLoader(new URL[] { url })) {
            Assertions.assertEquals(String.format(""%s[%s]"",urlClassLoader,url),ClassLoaderUtils.toString(urlClassLoader));
        }
    }"
org.apache.commons.lang3.EnumUtilsTest,void testConstructable(),,,"@Test
    public void testConstructable() {
        // enforce public constructor
        new EnumUtils();
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_getEnumMap(),,,"@Test
    public void test_getEnumMap() {
        final Map<String, Traffic> test = EnumUtils.getEnumMap(Traffic.class);
        assertEquals(""{RED=RED, AMBER=AMBER, GREEN=GREEN}"", test.toString(), ""getEnumMap not created correctly"");
        assertEquals(3, test.size());
        assertTrue(test.containsKey(""RED""));
        assertEquals(Traffic.RED, test.get(""RED""));
        assertTrue(test.containsKey(""AMBER""));
        assertEquals(Traffic.AMBER, test.get(""AMBER""));
        assertTrue(test.containsKey(""GREEN""));
        assertEquals(Traffic.GREEN, test.get(""GREEN""));
        assertFalse(test.containsKey(""PURPLE""));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_getEnumList(),,,"@Test
    public void test_getEnumList() {
        final List<Traffic> test = EnumUtils.getEnumList(Traffic.class);
        assertEquals(3, test.size());
        assertEquals(Traffic.RED, test.get(0));
        assertEquals(Traffic.AMBER, test.get(1));
        assertEquals(Traffic.GREEN, test.get(2));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_isValidEnum(),,,"@Test
    public void test_isValidEnum() {
        assertTrue(EnumUtils.isValidEnum(Traffic.class, ""RED""));
        assertTrue(EnumUtils.isValidEnum(Traffic.class, ""AMBER""));
        assertTrue(EnumUtils.isValidEnum(Traffic.class, ""GREEN""));
        assertFalse(EnumUtils.isValidEnum(Traffic.class, ""PURPLE""));
        assertFalse(EnumUtils.isValidEnum(Traffic.class, null));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_isValidEnum_nullClass(),,,"@Test
    public void test_isValidEnum_nullClass() {
        assertThrows(NullPointerException.class, () -> EnumUtils.isValidEnum(null, ""PURPLE""));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_isValidEnumIgnoreCase(),,,"@Test
    public void test_isValidEnumIgnoreCase() {
        assertTrue(EnumUtils.isValidEnumIgnoreCase(Traffic.class, ""red""));
        assertTrue(EnumUtils.isValidEnumIgnoreCase(Traffic.class, ""Amber""));
        assertTrue(EnumUtils.isValidEnumIgnoreCase(Traffic.class, ""grEEn""));
        assertFalse(EnumUtils.isValidEnumIgnoreCase(Traffic.class, ""purple""));
        assertFalse(EnumUtils.isValidEnumIgnoreCase(Traffic.class, null));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_isValidEnumIgnoreCase_nullClass(),,,"@Test
    public void test_isValidEnumIgnoreCase_nullClass() {
        assertThrows(NullPointerException.class, () -> EnumUtils.isValidEnumIgnoreCase(null, ""PURPLE""));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_getEnum(),,,"@Test
    public void test_getEnum() {
        assertEquals(Traffic.RED, EnumUtils.getEnum(Traffic.class, ""RED""));
        assertEquals(Traffic.AMBER, EnumUtils.getEnum(Traffic.class, ""AMBER""));
        assertEquals(Traffic.GREEN, EnumUtils.getEnum(Traffic.class, ""GREEN""));
        assertNull(EnumUtils.getEnum(Traffic.class, ""PURPLE""));
        assertNull(EnumUtils.getEnum(Traffic.class, null));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_getEnum_nonEnumClass(),,,"@Test
    public void test_getEnum_nonEnumClass() {
        final Class rawType = Object.class;
        assertNull(EnumUtils.getEnum(rawType, ""rawType""));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_getEnum_nullClass(),,,"@Test
    public void test_getEnum_nullClass() {
        assertThrows(NullPointerException.class, () -> EnumUtils.getEnum((Class<Traffic>) null, ""PURPLE""));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_getEnum_defaultEnum(),,,"@Test
    public void test_getEnum_defaultEnum() {
        assertEquals(Traffic.RED, EnumUtils.getEnum(Traffic.class, ""RED"", Traffic.AMBER));
        assertEquals(Traffic.AMBER, EnumUtils.getEnum(Traffic.class, ""AMBER"", Traffic.GREEN));
        assertEquals(Traffic.GREEN, EnumUtils.getEnum(Traffic.class, ""GREEN"", Traffic.RED));
        assertEquals(Traffic.AMBER, EnumUtils.getEnum(Traffic.class, ""PURPLE"", Traffic.AMBER));
        assertEquals(Traffic.GREEN, EnumUtils.getEnum(Traffic.class, ""PURPLE"", Traffic.GREEN));
        assertEquals(Traffic.RED, EnumUtils.getEnum(Traffic.class, ""PURPLE"", Traffic.RED));
        assertEquals(Traffic.AMBER, EnumUtils.getEnum(Traffic.class, null, Traffic.AMBER));
        assertEquals(Traffic.GREEN, EnumUtils.getEnum(Traffic.class, null, Traffic.GREEN));
        assertEquals(Traffic.RED, EnumUtils.getEnum(Traffic.class, null, Traffic.RED));
        assertNull(EnumUtils.getEnum(Traffic.class, ""PURPLE"", null));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_getEnumIgnoreCase(),,,"@Test
    public void test_getEnumIgnoreCase() {
        assertEquals(Traffic.RED, EnumUtils.getEnumIgnoreCase(Traffic.class, ""red""));
        assertEquals(Traffic.AMBER, EnumUtils.getEnumIgnoreCase(Traffic.class, ""Amber""));
        assertEquals(Traffic.GREEN, EnumUtils.getEnumIgnoreCase(Traffic.class, ""grEEn""));
        assertNull(EnumUtils.getEnumIgnoreCase(Traffic.class, ""purple""));
        assertNull(EnumUtils.getEnumIgnoreCase(Traffic.class, null));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_getEnumIgnoreCase_nonEnumClass(),,,"@Test
    public void test_getEnumIgnoreCase_nonEnumClass() {
        final Class rawType = Object.class;
        assertNull(EnumUtils.getEnumIgnoreCase(rawType, ""rawType""));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_getEnumIgnoreCase_nullClass(),,,"@Test
    public void test_getEnumIgnoreCase_nullClass() {
        assertThrows(NullPointerException.class, () -> EnumUtils.getEnumIgnoreCase((Class<Traffic>) null, ""PURPLE""));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_getEnumIgnoreCase_defaultEnum(),,,"@Test
    public void test_getEnumIgnoreCase_defaultEnum() {
        assertEquals(Traffic.RED, EnumUtils.getEnumIgnoreCase(Traffic.class, ""red"", Traffic.AMBER));
        assertEquals(Traffic.AMBER, EnumUtils.getEnumIgnoreCase(Traffic.class, ""Amber"", Traffic.GREEN));
        assertEquals(Traffic.GREEN, EnumUtils.getEnumIgnoreCase(Traffic.class, ""grEEn"", Traffic.RED));
        assertEquals(Traffic.AMBER, EnumUtils.getEnumIgnoreCase(Traffic.class, ""PURPLE"", Traffic.AMBER));
        assertEquals(Traffic.GREEN, EnumUtils.getEnumIgnoreCase(Traffic.class, ""purple"", Traffic.GREEN));
        assertEquals(Traffic.RED, EnumUtils.getEnumIgnoreCase(Traffic.class, ""pUrPlE"", Traffic.RED));
        assertEquals(Traffic.AMBER, EnumUtils.getEnumIgnoreCase(Traffic.class, null, Traffic.AMBER));
        assertEquals(Traffic.GREEN, EnumUtils.getEnumIgnoreCase(Traffic.class, null, Traffic.GREEN));
        assertEquals(Traffic.RED, EnumUtils.getEnumIgnoreCase(Traffic.class, null, Traffic.RED));
        assertNull(EnumUtils.getEnumIgnoreCase(Traffic.class, ""PURPLE"", null));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_generateBitVector_nullClass(),,,"@Test
    public void test_generateBitVector_nullClass() {
        assertThrows(NullPointerException.class, () -> EnumUtils.generateBitVector(null, EnumSet.of(Traffic.RED)));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_generateBitVectors_nullClass(),,,"@Test
    public void test_generateBitVectors_nullClass() {
        assertThrows(NullPointerException.class, () -> EnumUtils.generateBitVectors(null, EnumSet.of(Traffic.RED)));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_generateBitVector_nullIterable(),,,"@Test
    public void test_generateBitVector_nullIterable() {
        assertThrows(NullPointerException.class,
                () -> EnumUtils.generateBitVector(Traffic.class, (Iterable<Traffic>) null));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_generateBitVectors_nullIterable(),,,"@Test
    public void test_generateBitVectors_nullIterable() {
        assertThrows(NullPointerException.class, () -> EnumUtils.generateBitVectors(null, (Iterable<Traffic>) null));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_generateBitVector_nullElement(),,,"@Test
    public void test_generateBitVector_nullElement() {
        assertThrows(NullPointerException.class,
                () -> EnumUtils.generateBitVector(Traffic.class, Arrays.asList(Traffic.RED, null)));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_generateBitVectors_nullElement(),,,"@Test
    public void test_generateBitVectors_nullElement() {
        assertThrows(NullPointerException.class,
                () -> EnumUtils.generateBitVectors(Traffic.class, Arrays.asList(Traffic.RED, null)));
    }"
org.apache.commons.lang3.EnumUtilsTest,void test_generateBitVector_nullClassWithArray(),,,"@Test
    public void test_generateBitVector_nullClassWithArray() {
        assertThrows(NullPointerException.class, () -> EnumUtils.generateBitVector(null, Traffic.RED));
    }"
