focal_method,test_prefix,docstring
"    public void setEventQueueType( final ICacheEventQueue.QueueType queueType )
    {
        this.eventQueueType = queueType;
    }","  public void test0()  throws Throwable  {
      CommonRemoteCacheAttributes commonRemoteCacheAttributes0 = new CommonRemoteCacheAttributes();
      ICacheEventQueue.QueueType iCacheEventQueue_QueueType0 = ICacheEventQueue.QueueType.POOLED;
      commonRemoteCacheAttributes0.setEventQueueType(iCacheEventQueue_QueueType0);
      assertEquals(""org.apache.commons.jcs3.engine.behavior.ICacheServiceNonLocal"", commonRemoteCacheAttributes0.getRemoteServiceName());
}","/**
     * SINGLE is the default. If you choose POOLED, the value of EventQueuePoolName will be used
     * <p>
     * @param queueType SINGLE or POOLED
     */"
"    public void setEventQueuePoolName( final String s )
    {
        eventQueuePoolName = s;
    }","  public void test1()  throws Throwable  {
      CommonRemoteCacheAttributes commonRemoteCacheAttributes0 = new CommonRemoteCacheAttributes();
      commonRemoteCacheAttributes0.setEventQueuePoolName(""Clone not supported. This should never happen."");
      assertEquals(10000, commonRemoteCacheAttributes0.getRmiSocketFactoryTimeoutMillis());
}","/**
     * If you choose a POOLED event queue type, the value of EventQueuePoolName will be used. This
     * is ignored if the pool type is SINGLE
     * <p>
     * @param s SINGLE or POOLED
     */"
"    public void setCacheName( final String name )
    {
        this.cacheName = name;
    }","  public void test2()  throws Throwable  {
      LateralCacheAttributes lateralCacheAttributes0 = new LateralCacheAttributes();
      lateralCacheAttributes0.setCacheName("""");
      assertNull(lateralCacheAttributes0.getHttpServers());
}","/**
     * @param name
     */"
"    public String getName()
    {
        return this.name;
    }","  public void test3()  throws Throwable  {
      LateralCacheAttributes lateralCacheAttributes0 = new LateralCacheAttributes();
      lateralCacheAttributes0.setName(""SINGLE"");
      String string0 = lateralCacheAttributes0.getName();
      assertEquals(""SINGLE"", string0);
}","/**
     * Gets the name attribute of the AuxiliaryCacheAttributes object
     * <p>
     * @return The name value
     */"
"    public String getName()
    {
        return this.name;
    }","  public void test4()  throws Throwable  {
      LateralCacheAttributes lateralCacheAttributes0 = new LateralCacheAttributes();
      lateralCacheAttributes0.setName("""");
      String string0 = lateralCacheAttributes0.getName();
      assertEquals("""", string0);
}","/**
     * Gets the name attribute of the AuxiliaryCacheAttributes object
     * <p>
     * @return The name value
     */"
"    public ICacheEventQueue.QueueType getEventQueueType()
    {
        return eventQueueType;
    }","  public void test5()  throws Throwable  {
      CommonRemoteCacheAttributes commonRemoteCacheAttributes0 = new CommonRemoteCacheAttributes();
      ICacheEventQueue.QueueType iCacheEventQueue_QueueType0 = ICacheEventQueue.QueueType.POOLED;
      commonRemoteCacheAttributes0.setEventQueueType(iCacheEventQueue_QueueType0);
      ICacheEventQueue.QueueType iCacheEventQueue_QueueType1 = commonRemoteCacheAttributes0.getEventQueueType();
      assertEquals(ICacheEventQueue.QueueType.POOLED, iCacheEventQueue_QueueType1);
}","/**
     * @return SINGLE or POOLED
     */"
"    public String getEventQueuePoolName()
    {
        return eventQueuePoolName;
    }","  public void test6()  throws Throwable  {
      RemoteCacheAttributes remoteCacheAttributes0 = new RemoteCacheAttributes();
      String string0 = remoteCacheAttributes0.getEventQueuePoolName();
      assertNull(string0);
}","/**
     * Sets the pool name to use. If a pool is not found by this name, the thread pool manager will
     * return a default configuration.
     * <p>
     * @return name of thread pool to use for this auxiliary
     */"
"    public String getEventQueuePoolName()
    {
        return eventQueuePoolName;
    }","  public void test7()  throws Throwable  {
      CommonRemoteCacheAttributes commonRemoteCacheAttributes0 = new CommonRemoteCacheAttributes();
      commonRemoteCacheAttributes0.setEventQueuePoolName(""org.apache.commons.jcs3.auxiliary.AbstractAuxiliaryCacheAttributes"");
      String string0 = commonRemoteCacheAttributes0.getEventQueuePoolName();
      assertEquals(""org.apache.commons.jcs3.auxiliary.AbstractAuxiliaryCacheAttributes"", string0);
}","/**
     * Sets the pool name to use. If a pool is not found by this name, the thread pool manager will
     * return a default configuration.
     * <p>
     * @return name of thread pool to use for this auxiliary
     */"
"    public String getEventQueuePoolName()
    {
        return eventQueuePoolName;
    }","  public void test8()  throws Throwable  {
      RemoteCacheAttributes remoteCacheAttributes0 = new RemoteCacheAttributes();
      remoteCacheAttributes0.setEventQueuePoolName("""");
      String string0 = remoteCacheAttributes0.getEventQueuePoolName();
      assertEquals("""", string0);
}","/**
     * Sets the pool name to use. If a pool is not found by this name, the thread pool manager will
     * return a default configuration.
     * <p>
     * @return name of thread pool to use for this auxiliary
     */"
"    public String getCacheName()
    {
        return this.cacheName;
    }","  public void test9()  throws Throwable  {
      CommonRemoteCacheAttributes commonRemoteCacheAttributes0 = new CommonRemoteCacheAttributes();
      commonRemoteCacheAttributes0.setCacheName(""228.5.6.7"");
      String string0 = commonRemoteCacheAttributes0.getCacheName();
      assertEquals(""228.5.6.7"", string0);
}","/**
     * Gets the cacheName attribute of the AuxiliaryCacheAttributes object
     * <p>
     * @return The cacheName value
     */"
